mpid,firstname,surname,party
905,Barry,Gardiner,Lab
906,Edward,Garnier,Con
907,Andrew,George,LDem
908,Bruce,George,Lab
909,Neil,Gerrard,Lab
910,Nick,Gibb,Con
911,Ian,Gibson,Lab
912,Sandra,Gidley,LDem
914,Cheryl,Gillan,Con
915,Linda,Gilroy,Lab
916,Roger,Godsiff,Lab
917,Paul,Goggins,Lab
918,Paul,Goodman,Con
919,James,Gray,Con
920,Chris,Grayling,Con
921,Damian,Green,Con
922,Matthew,Green,LDem
923,John,Greenway,Con
924,Dominic,Grieve,Con
925,Jane,Griffiths,Lab
926,Nigel,Griffiths,Lab
927,Win,Griffiths,Lab
928,John,Grogan,Lab
929,John,Gummer,Con
930,William,Hague,Con
931,Peter,Hain,Lab
932,Mike,Hall,Lab
933,Patrick,Hall,Lab
934,David,Hamilton,Lab
935,Fabian,Hamilton,Lab
936,Philip,Hammond,Con
937,Mike,Hancock,LDem
938,David,Hanson,Lab
939,Harriet,Harman,Lab
940,Evan,Harris,LDem
941,Tom,Harris,Lab
942,Nick,Harvey,LDem
944,Dai,Havard,Lab
945,Nick,Hawkins,Con
946,John,Hayes,Con
948,Oliver,Heald,Con
949,John,Healey,Lab
950,David,Heath,LDem
951,David,Heathcoat-Amory,Con
952,Doug,Henderson,Lab
953,Ivan,Henderson,Lab
954,Mark,Hendrick,Lab
955,Charles,Hendry,Con
956,Stephen,Hepburn,Lab
957,John,Heppell,Lab
958,Sylvia,Hermon,UUP
959,Stephen,Hesford,Lab
960,Patricia,Hewitt,Lab
961,David,Heyes,Lab
962,Keith,Hill,Lab
963,David,Hinchliffe,Lab
964,Mark,Hoban,Con
965,Margaret,Hodge,Lab
966,Kate,Hoey,Lab
967,Douglas,Hogg,Con
968,Paul,Holmes,LDem
969,Jimmy,Hood,Lab
970,Geoff,Hoon,Lab
971,Phil,Hope,Lab
972,Kelvin,Hopkins,Lab
973,John,Horam,Con
974,Michael,Howard,Con
975,Alan,Howarth,Lab
976,George,Howarth,Lab
977,Gerald,Howarth,Con
978,Kim,Howells,Lab
979,Lindsay,Hoyle,Lab
980,Beverley,Hughes,Lab
981,Kevin,Hughes,Lab
