Story ID	Ranking	Subject (What)	Event Initiator	Tone
132	M	60	53	32
132	M	64	53	32
133	1	485	53	26
134	1	96	71	32
134	M	2	71	32
135	1	17	53	25
135	M	90	74	32
136	1	131	53	11
136	M	134	53	11
137	M	135	53	16
137	M	138	53	16
137	M	143	53	10
137	M	130	53	16
138	1	312	07	19
138	1	51	07	19
139	1	19	03	33
139	M	201	74	01
140	1	483	19	07
140	M	64	19	07
142	1	172	53	07
142	M	160	53	07
143	M	90	71	40
143	M	291	74	32
143	M	242	11	25
143	M	350	11	25
144	1	242	11	25
145	1	26	04	33
147	1	242	11	25
147	1	136	11	25
148	1	90	71	32
148	1	291	74	32
148	M	136	74	32
149	1	292	53	28
149	M	282	53	18
150	1	466	52	19
152	1	19	03	33
152	1	64	71	40
152	1	85	71	40
153	1	136	11	25
154	1	29	04	17
155	1	96	71	32
155	M	2	71	32
156	1	242	53	17
156	1	360	53	25
156	1	291	53	25
158	1	90	71	32
158	M	136	74	24
158	1	291	74	24
159	1	242	11	17
160	1	488	74	32
160	1	90	71	24
161	1	355	53	31
161	M	242	11	17
161	M	136	11	25
162	1	350	11	25
162	M	241	11	25
163	1	351	11	01
164	1	469	53	27
164	M	90	53	24
165	1	72	11	33
165	M	131	11	33
166	1	386	16	04
166	M	90	71	32
167	1	291	74	18
167	M	271	74	18
167	M	353	53	26
168	1	291	17	31
168	M	136	17	24
169	1	484	74	32
169	M	290	71	40
169	M	291	74	24
170	1	291	74	24
170	M	136	74	32
171	1	137	11	33
171	S	138	11	17
172	1	322	09	26
172	M	320	09	26
173	1	26	03	33
173	M	64	03	33
174	1	90	71	32
174	S	384	71	32
174	M	395	71	32
175	1	90	53	24
175	1	291	53	18
175	M	135	53	24
175	M	360	53	25
176	1	242	11	17
176	M	350	11	17
177	1	300	53	25
177	M	360	53	33
178	1	90	09	26
178	M	291	74	26
179	1	138	17	24
179	1	291	17	24
180	1	291	74	28
180	M	136	74	32
181	1	291	11	33
181	1	137	11	33
182	1	51	08	32
183	1	386	15	28
184	1	165	71	32
185	1	242	11	25
185	M	136	11	25
186	1	241	11	17
186	1	350	11	17
187	1	351	11	25
191	1	291	11	24
191	1	136	11	17
192	1	96	71	32
192	M	124	71	32
193	1	19	03	33
193	1	64	03	33
194	1	96	71	32
194	1	60	71	32
195	1	102	53	19
195	M	18	53	19
195	M	14	53	19
197	1	137	11	33
200	1	450	69	24
200	M	288	69	24
201	1	322	55	18
202	1	243	37	37
203	1	351	53	25
203	M	242	53	17
204	1	90	71	32
204	1	242	11	17
204	1	291	74	32
205	1	96	01	40
205	1	72	01	40
205	M	21	01	40
206	M	90	71	31
206	1	466	52	07
209	1	137	11	33
209	1	138	11	17
211	1	27	02	26
211	M	17	02	26
216	1	351	53	25
216	1	330	53	32
217	1	242	11	17
218	1	242	53	25
219	1	292	53	18
219	M	148	53	18
220	1	291	74	32
124	1	148	53	09
48	M	241	11	25
49	1	17	03	25
50	1	102	13	27
50	M	386	15	04
51	1	292	71	32
51	1	148	71	40
51	M	90	71	32
51	S	325	71	32
51	M	270	71	32
52	1	271	74	18
53	1	483	19	07
54	1	469	51	19
54	1	451	51	19
54	M	400	51	19
55	1	241	11	17
55	1	350	11	17
55	M	242	11	17
57	1	435	53	19
58	1	292	53	24
58	1	138	53	16
58	M	90	53	24
59	1	292	71	32
59	M	270	71	32
59	M	90	71	32
59	M	291	74	32
61	1	70	01	26
61	1	191	01	26
62	1	26	03	01
62	M	27	01	02
63	1	26	03	01
64	1	292	15	28
64	M	90	71	32
64	M	291	74	32
65	1	435	09	34
67	1	120	53	32
67	M	122	53	27
67	M	124	53	32
68	1	51	07	32
69	1	292	74	31
69	M	289	74	31
69	M	483	74	24
70	1	384	52	32
70	1	444	05	24
71	1	483	19	31
71	1	51	07	31
72	1	320	11	33
72	1	325	11	33
72	S	144	11	33
73	1	26	03	01
74	1	136	11	33
74	M	350	11	25
75	1	351	11	17
75	1	138	11	17
78	1	291	74	40
78	1	90	71	32
78	1	270	71	32
79	1	292	71	32
79	M	90	71	32
79	M	270	71	32
82	1	241	11	17
82	1	350	11	17
83	1	17	03	40
84	1	312	01	32
85	1	461	13	27
85	1	463	53	19
86	1	96	71	40
86	M	124	71	08
87	1	386	15	04
89	1	64	03	25
90	1	291	74	24
90	1	304	63	39
91	1	277	74	32
91	1	291	74	32
92	1	400	05	19
92	S	141	52	18
93	1	400	53	19
93	1	102	13	27
94	1	291	53	40
94	1	136	53	40
