ID	Justification	Subject (Whom)	Tone
287	21	802	Assumed
289	03	550	Reinforcing
289	07	543	Deflating
289	31	543	Assumed
289	21	573	Assumed
289	01	527	Assumed
289	10	500	Reinforcing
289	01	500	Reinforcing
264	11	500	Reinforcing
286	22	543	Assumed
287	22	803	Assumed
293	22	509	Reinforcing
307	02	503	Reinforcing
310	31	543	Reinforcing
321	12	801	Assumed
321	19	801	Reinforcing
323	22	800	Reinforcing
324	15	640	Reinforcing
326	05	603	Reinforcing
326	07	600	Reinforcing
326	05	862	Deflating
326	07	862	Deflating
326	03	600	Reinforcing
329	01	500	Reinforcing
329	02	500	Reinforcing
329	10	500	Reinforcing
329	14	862	Assumed
330	10	500	Reinforcing
331	14	782	Reinforcing
335	14	802	Reinforcing
335	21	802	Reinforcing
335	22	803	Assumed
335	21	721	Assumed
340	21	543	Assumed
344	12	543	Reinforcing
344	21	543	Reinforcing
344	02	550	Reinforcing
344	28	550	Reinforcing
344	01	550	Reinforcing
345	13	583	Reinforcing
345	31	583	Reinforcing
345	30	573	Reinforcing
345	02	555	Assumed
345	12	543	Assumed
348	07	555	Assumed
349	33	543	Reinforcing
355	22	862	Assumed
356	33	543	Assumed
357	10	500	Reinforcing
357	22	543	Assumed
357	31	543	Assumed
367	10	555	Assumed
367	21	573	Reinforcing
367	31	543	Assumed
368	34	500	Reinforcing
368	28	500	Assumed
368	10	500	Assumed
371	21	721	Reinforcing
371	19	801	Assumed
371	21	802	Reinforcing
372	21	731	Reinforcing
373	01	773	Assumed
373	01	907	Reinforcing
382	14	543	Assumed
383	22	543	Assumed
383	03	500	Reinforcing
383	10	500	Reinforcing
383	11	500	Assumed
344	03	550	Reinforcing
344	10	550	Reinforcing
344	22	580	Reinforcing
344	14	580	Reinforcing
344	04	527	Reinforcing
344	02	527	Assumed
344	07	573	Questioned
344	21	573	Reinforcing
344	11	555	Reinforcing
344	14	543	Reinforcing
315	07	527	Reinforcing
391	02	550	Reinforcing
391	01	550	Reinforcing
391	28	550	Reinforcing
391	22	580	Assumed
391	11	555	Assumed
391	33	543	Reinforcing
391	22	543	Assumed
391	14	543	Assumed
391	22	583	Assumed
391	11	555	Reinforcing
391	02	527	Assumed
393	19	543	Assumed
394	07	527	Reinforcing
390	07	500	Assumed
402	11	600	Reinforcing
402	03	600	Reinforcing
402	28	600	Assumed
402	19	635	Assumed
408	02	862	Reinforcing
409	22	509	Assumed
412	02	500	Reinforcing
412	01	500	Assumed
413	02	697	Reinforcing
420	02	500	Reinforcing
426	01	791	Reinforcing
437	13	783	Reinforcing
448	21	862	Reinforcing
450	21	721	Assumed
451	21	862	Reinforcing
451	12	862	Reinforcing
451	15	862	Reinforcing
463	21	722	Assumed
477	02	500	Reinforcing
477	03	500	Assumed
494	12	803	Reinforcing
494	31	801	Reinforcing
494	12	802	Reinforcing
494	13	780	Reinforcing
495	29	999	Reinforcing
495	10	999	Questioned
495	15	999	Assumed
497	33	902	Reinforcing
497	33	905	Reinforcing
497	29	905	Reinforcing
497	20	902	Reinforcing
499	22	543	Assumed
499	19	543	Reinforcing
503	13	730	Assumed
511	14	781	Reinforcing
511	31	801	Reinforcing
511	12	802	Reinforcing
511	12	803	Reinforcing
526	14	782	Reinforcing
530	01	514	Assumed
530	12	907	Assumed
532	21	862	Reinforcing
532	19	862	Reinforcing
532	26	862	Assumed
537	26	500	Reinforcing
537	03	500	Reinforcing
537	03	607	Assumed
539	12	732	Reinforcing
548	14	801	Reinforcing
548	19	802	Assumed
553	29	905	Reinforcing
553	33	905	Reinforcing
561	21	925	Reinforcing
561	12	925	Reinforcing
563	03	862	Reinforcing
563	01	862	Reinforcing
563	07	862	Reinforcing
563	02	862	Reinforcing
567	26	500	Assumed
442	26	500	Assumed
577	02	511	Reinforcing
582	22	905	Reinforcing
593	10	862	Assumed
601	25	602	Assumed
606	27	500	Reinforcing
606	26	500	Reinforcing
606	07	500	Reinforcing
606	02	500	Reinforcing
606	23	500	Reinforcing
606	25	500	Reinforcing
606	28	500	Reinforcing
606	10	500	Reinforcing
607	07	862	Reinforcing
393	22	543	Assumed
446	33	635	Reinforcing
619	26	500	Reinforcing
619	27	500	Reinforcing
626	26	500	Reinforcing
626	27	500	Reinforcing
626	07	500	Reinforcing
626	02	500	Reinforcing
626	25	500	Reinforcing
626	28	500	Reinforcing
626	10	500	Reinforcing
626	23	500	Reinforcing
627	31	862	Reinforcing
627	22	862	Assumed
628	12	862	Assumed
628	21	862	Assumed
630	22	801	Assumed
632	12	803	Reinforcing
632	31	803	Assumed
636	02	862	Reinforcing
637	12	862	Assumed
639	02	850	Reinforcing
643	26	500	Reinforcing
643	27	500	Reinforcing
653	07	500	Reinforcing
653	03	862	Reinforcing
655	02	862	Assumed
663	27	600	Reinforcing
663	02	600	Reinforcing
663	11	600	Reinforcing
663	25	602	Assumed
665	26	500	Reinforcing
665	27	500	Reinforcing
665	07	500	Reinforcing
665	10	500	Reinforcing
665	02	500	Reinforcing
665	23	500	Reinforcing
665	25	500	Reinforcing
665	28	500	Reinforcing
671	02	550	Reinforcing
671	21	591	Reinforcing
671	12	591	Assumed
674	11	600	Reinforcing
674	33	640	Reinforcing
675	03	600	Reinforcing
675	05	603	Reinforcing
675	28	600	Reinforcing
675	17	862	Reinforcing
678	21	925	Reinforcing
678	12	925	Reinforcing
680	33	710	Reinforcing
680	14	863	Reinforcing
680	12	868	Reinforcing
683	30	801	Reinforcing
683	21	802	Reinforcing
684	24	500	Assumed
685	15	781	Reinforcing
685	14	781	Reinforcing
692	02	862	Reinforcing
692	23	862	Mixed
692	28	862	Mixed
695	07	500	Reinforcing
698	02	602	Reinforcing
704	26	501	Assumed
709	33	812	Reinforcing
710	12	803	Reinforcing
710	22	801	Assumed
710	13	804	Reinforcing
710	13	802	Assumed
710	19	721	Assumed
315	02	555	Reinforcing
346	02	500	Reinforcing
346	03	500	Reinforcing
632	21	802	Assumed
639	02	850	Reinforcing
670	12	801	Assumed
670	13	802	Reinforcing
670	12	803	Reinforcing
670	22	804	Reinforcing
670	03	791	Reinforcing
709	21	810	Assumed
722	33	862	Assumed
710	12	814	Reinforcing
710	22	805	Reinforcing
713	07	611	Reinforcing
713	17	623	Reinforcing
721	13	720	Assumed
721	27	722	Assumed
721	26	722	Assumed
721	22	722	Assumed
721	19	722	Assumed
722	23	500	Reinforcing
722	25	500	Reinforcing
722	28	500	Reinforcing
722	07	500	Assumed
724	26	500	Assumed
724	27	500	Assumed
746	19	722	Reinforcing
750	22	801	Assumed
750	13	802	Assumed
764	07	500	Reinforcing
764	10	500	Reinforcing
768	26	500	Reinforcing
768	03	500	Reinforcing
768	07	500	Reinforcing
768	10	500	Reinforcing
768	02	500	Reinforcing
782	22	805	Reinforcing
784	27	600	Assumed
784	02	600	Assumed
784	26	600	Assumed
786	17	840	Reinforcing
789	22	801	Assumed
789	21	802	Assumed
793	26	501	Assumed
793	17	543	Assumed
796	21	999	Reinforcing
799	19	907	Reinforcing
801	27	600	Assumed
807	03	862	Reinforcing
807	02	862	Reinforcing
808	11	862	Assumed
827	02	862	Reinforcing
827	10	862	Reinforcing
831	31	862	Reinforcing
837	31	862	Reinforcing
837	22	862	Assumed
839	04	664	Reinforcing
843	21	925	Assumed
843	12	925	Assumed
851	33	731	Reinforcing
851	12	731	Reinforcing
848	12	525	Assumed
853	02	791	Reinforcing
853	22	805	Assumed
877	33	643	Reinforcing
887	01	500	Assumed
887	12	774	Assumed
888	33	711	Reinforcing
888	21	739	Assumed
892	12	801	Assumed
892	25	500	Assumed
897	29	998	Assumed
897	25	620	Assumed
902	02	850	Assumed
903	22	525	Assumed
903	22	774	Assumed
916	20	710	Reinforcing
916	16	667	Reinforcing
745	33	710	Reinforcing
745	29	830	Reinforcing
745	13	830	Assumed
916	21	667	Assumed
917	33	814	Reinforcing
924	12	801	Reinforcing
787	22	801	Assumed
787	21	802	Reinforcing
798	02	667	Reinforcing
929	27	600	Reinforcing
929	23	600	Reinforcing
946	31	830	Questioned
946	33	830	Reinforcing
946	02	830	Reinforcing
952	31	905	Assumed
983	12	801	Reinforcing
984	30	803	Assumed
985	29	905	Assumed
985	12	905	Assumed
985	21	905	Assumed
988	03	532	Reinforcing
988	02	532	Mixed
1012	02	505	Reinforcing
1012	11	505	Reinforcing
1013	21	543	Assumed
1013	12	543	Assumed
1013	21	591	Assumed
1026	21	862	Reinforcing
1026	31	862	Reinforcing
1026	30	862	Reinforcing
1026	12	862	Assumed
1041	33	862	Reinforcing
1041	30	862	Reinforcing
1071	17	862	Assumed
1071	15	862	Assumed
1072	17	862	Assumed
1077	25	697	Assumed
1087	12	730	Assumed
1087	33	730	Reinforcing
1088	21	730	Reinforcing
1088	31	830	Reinforcing
1092	21	862	Reinforcing
1092	33	862	Assumed
1097	10	832	Mixed
1106	29	803	Assumed
1106	25	620	Assumed
1106	25	676	Reinforcing
1111	14	730	Reinforcing
1134	14	540	Reinforcing
1134	22	540	Reinforcing
1136	21	831	Reinforcing
1139	33	871	Reinforcing
1141	33	868	Reinforcing
1155	02	862	Reinforcing
1155	02	500	Reinforcing
1155	10	862	Reinforcing
80	10	600	Reinforcing
80	03	600	Reinforcing
80	07	600	Reinforcing
80	02	600	Reinforcing
80	28	600	Reinforcing
80	01	600	Reinforcing
81	01	500	Reinforcing
81	02	500	Reinforcing
81	24	500	Reinforcing
81	23	500	Reinforcing
81	28	500	Reinforcing
81	03	500	Reinforcing
131	22	540	Reinforcing
131	14	540	Reinforcing
131	15	540	Reinforcing
190	22	540	Reinforcing
190	01	500	Reinforcing
190	27	500	Reinforcing
210	01	525	Reinforcing
215	22	540	Reinforcing
215	01	500	Reinforcing
1	04	600	Reinforcing
1	07	600	Reinforcing
1	28	600	Reinforcing
2	04	600	Reinforcing
2	07	600	Reinforcing
346	10	500	Reinforcing
346	11	500	Reinforcing
2	28	600	Reinforcing
2	15	640	Reinforcing
2	02	600	Reinforcing
2	01	500	Reinforcing
2	01	502	Reinforcing
11	22	543	Assumed
984	12	803	Assumed
390	01	500	Reinforcing
646	26	500	Reinforcing
646	27	500	Reinforcing
717	26	500	Reinforcing
717	27	500	Reinforcing
717	10	500	Reinforcing
717	02	500	Reinforcing
717	28	500	Reinforcing
717	07	500	Assumed
646	07	500	Reinforcing
753	27	600	Reinforcing
753	10	600	Assumed
753	23	600	Assumed
753	07	600	Assumed
762	26	500	Reinforcing
762	27	500	Reinforcing
762	10	500	Reinforcing
762	02	500	Reinforcing
762	23	500	Reinforcing
762	25	500	Reinforcing
762	28	500	Reinforcing
762	07	500	Assumed
1178	12	862	Reinforcing
1178	21	862	Reinforcing
1179	02	602	Reinforcing
1183	02	500	Reinforcing
1183	03	500	Assumed
1183	05	500	Assumed
1184	12	862	Assumed
1196	29	841	Reinforcing
1196	33	841	Reinforcing
313	03	500	Reinforcing
313	03	550	Reinforcing
313	12	543	Reinforcing
313	21	543	Reinforcing
313	17	543	Reinforcing
313	17	580	Reinforcing
313	31	580	Reinforcing
313	01	527	Reinforcing
313	34	555	Reinforcing
313	02	543	Reinforcing
313	11	555	Reinforcing
313	21	573	Reinforcing
313	15	573	Assumed
313	22	543	Reinforcing
1200	12	543	Reinforcing
1201	21	730	Assumed
1201	33	730	Reinforcing
1202	21	862	Reinforcing
1202	15	862	Assumed
1202	07	862	Deflating
1202	13	862	Reinforcing
1202	31	862	Assumed
315	12	583	Assumed
315	31	543	Reinforcing
315	14	573	Reinforcing
315	22	543	Reinforcing
1219	02	862	Reinforcing
1237	02	500	Reinforcing
1237	04	500	Reinforcing
1237	04	501	Assumed
1237	12	543	Reinforcing
646	10	500	Reinforcing
646	02	500	Reinforcing
646	23	500	Reinforcing
646	25	500	Reinforcing
646	28	500	Reinforcing
165	02	514	Reinforcing
285	12	862	Assumed
