ID	Reporting restrictions
650	None mentioned
651	None mentioned
652	None mentioned
653	None mentioned
655	None mentioned
656	None mentioned
657	None mentioned
658	None mentioned
659	None mentioned
660	None mentioned
661	None mentioned
662	None mentioned
663	None mentioned
665	None mentioned
666	None mentioned
667	None mentioned
668	None mentioned
669	None mentioned
670	None mentioned
671	None mentioned
672	None mentioned
674	None mentioned
675	None mentioned
676	None mentioned
92	None mentioned
93	None mentioned
94	None mentioned
95	None mentioned
96	None mentioned
97	None mentioned
98	None mentioned
99	None mentioned
100	None mentioned
101	None mentioned
103	None mentioned
104	None mentioned
105	None mentioned
106	None mentioned
109	None mentioned
110	None mentioned
111	None mentioned
112	None mentioned
113	None mentioned
116	None mentioned
117	None mentioned
118	None mentioned
120	None mentioned
121	None mentioned
122	None mentioned
123	None mentioned
124	None mentioned
125	None mentioned
126	None mentioned
127	None mentioned
128	None mentioned
129	None mentioned
130	None mentioned
132	None mentioned
133	None mentioned
134	None mentioned
135	None mentioned
136	None mentioned
137	None mentioned
138	None mentioned
139	None mentioned
140	None mentioned
142	None mentioned
143	None mentioned
144	None mentioned
145	None mentioned
147	None mentioned
148	None mentioned
149	None mentioned
150	None mentioned
152	‘Embedded’ reporter
153	None mentioned
154	None mentioned
155	None mentioned
156	None mentioned
158	None mentioned
159	None mentioned
160	None mentioned
161	None mentioned
162	None mentioned
163	None mentioned
164	None mentioned
165	None mentioned
166	None mentioned
167	None mentioned
168	None mentioned
169	None mentioned
170	None mentioned
171	None mentioned
172	None mentioned
173	‘Embedded’ reporter
174	None mentioned
175	None mentioned
176	None mentioned
177	None mentioned
178	None mentioned
179	None mentioned
180	None mentioned
181	None mentioned
182	None mentioned
183	None mentioned
288	None mentioned
289	None mentioned
292	None mentioned
293	None mentioned
294	None mentioned
295	None mentioned
296	None mentioned
298	None mentioned
299	None mentioned
300	None mentioned
301	None mentioned
302	None mentioned
303	None mentioned
304	None mentioned
305	None mentioned
306	None mentioned
307	None mentioned
308	None mentioned
309	None mentioned
310	None mentioned
312	None mentioned
316	None mentioned
317	None mentioned
318	None mentioned
321	None mentioned
322	None mentioned
323	None mentioned
324	None mentioned
325	None mentioned
326	None mentioned
327	None mentioned
328	None mentioned
329	None mentioned
330	None mentioned
331	None mentioned
333	None mentioned
334	None mentioned
335	None mentioned
336	None mentioned
337	None mentioned
338	None mentioned
339	None mentioned
340	None mentioned
341	None mentioned
342	None mentioned
344	None mentioned
345	None mentioned
348	None mentioned
349	None mentioned
350	None mentioned
351	None mentioned
352	None mentioned
353	None mentioned
354	None mentioned
355	None mentioned
356	None mentioned
357	None mentioned
358	None mentioned
360	None mentioned
361	None mentioned
363	None mentioned
364	None mentioned
366	None mentioned
367	None mentioned
368	None mentioned
369	None mentioned
370	None mentioned
371	None mentioned
372	None mentioned
373	None mentioned
375	None mentioned
376	None mentioned
377	None mentioned
378	None mentioned
379	None mentioned
380	None mentioned
381	None mentioned
382	None mentioned
383	None mentioned
385	None mentioned
386	None mentioned
1	None mentioned
2	None mentioned
3	None mentioned
4	None mentioned
5	None mentioned
6	None mentioned
7	None mentioned
8	None mentioned
9	None mentioned
10	None mentioned
11	None mentioned
12	None mentioned
13	None mentioned
14	None mentioned
15	None mentioned
16	None mentioned
17	None mentioned
18	None mentioned
19	None mentioned
20	None mentioned
21	None mentioned
22	None mentioned
23	None mentioned
24	None mentioned
25	None mentioned
26	None mentioned
27	None mentioned
28	None mentioned
29	None mentioned
30	None mentioned
31	None mentioned
32	None mentioned
33	None mentioned
34	None mentioned
35	None mentioned
36	None mentioned
37	None mentioned
38	None mentioned
39	None mentioned
40	None mentioned
41	None mentioned
42	None mentioned
43	None mentioned
44	None mentioned
45	None mentioned
46	None mentioned
47	None mentioned
48	None mentioned
49	‘Embedded’ reporter
50	None mentioned
51	None mentioned
52	None mentioned
53	None mentioned
54	None mentioned
55	None mentioned
57	None mentioned
58	None mentioned
59	None mentioned
61	‘Embedded’ reporter
62	None mentioned
63	‘Embedded’ reporter
64	None mentioned
65	None mentioned
67	None mentioned
68	None mentioned
69	None mentioned
70	None mentioned
71	None mentioned
72	None mentioned
74	None mentioned
75	None mentioned
78	None mentioned
79	None mentioned
82	None mentioned
83	None mentioned
84	‘Embedded’ reporter
85	None mentioned
86	None mentioned
87	None mentioned
90	None mentioned
91	None mentioned
287	None mentioned
776	None mentioned
777	None mentioned
778	None mentioned
779	None mentioned
780	‘Embedded’ reporter
781	None mentioned
782	None mentioned
784	None mentioned
785	None mentioned
786	None mentioned
787	None mentioned
788	None mentioned
789	None mentioned
790	None mentioned
791	None mentioned
792	None mentioned
793	None mentioned
796	None mentioned
797	None mentioned
798	None mentioned
799	None mentioned
800	None mentioned
801	None mentioned
802	None mentioned
803	None mentioned
804	None mentioned
805	None mentioned
806	None mentioned
807	None mentioned
808	None mentioned
809	None mentioned
810	None mentioned
811	‘Embedded’ reporter
812	None mentioned
813	‘Embedded’ reporter
815	None mentioned
816	None mentioned
817	None mentioned
818	None mentioned
820	‘Embedded’ reporter
821	None mentioned
822	None mentioned
823	None mentioned
827	None mentioned
828	None mentioned
829	None mentioned
830	None mentioned
831	None mentioned
832	None mentioned
833	None mentioned
834	None mentioned
835	None mentioned
836	None mentioned
837	None mentioned
838	None mentioned
839	None mentioned
840	‘Embedded’ reporter
841	None mentioned
843	None mentioned
844	None mentioned
845	None mentioned
846	None mentioned
847	None mentioned
848	None mentioned
851	None mentioned
852	‘Embedded’ reporter
853	None mentioned
854	None mentioned
855	None mentioned
856	None mentioned
857	None mentioned
858	None mentioned
859	None mentioned
860	None mentioned
861	None mentioned
862	None mentioned
863	None mentioned
864	None mentioned
865	None mentioned
867	None mentioned
868	None mentioned
869	None mentioned
870	None mentioned
871	None mentioned
872	None mentioned
873	None mentioned
874	None mentioned
875	None mentioned
876	None mentioned
877	None mentioned
878	None mentioned
879	‘Embedded’ reporter
880	None mentioned
881	None mentioned
882	None mentioned
887	None mentioned
888	None mentioned
889	None mentioned
890	None mentioned
891	None mentioned
892	None mentioned
893	None mentioned
894	None mentioned
895	None mentioned
896	None mentioned
897	None mentioned
898	None mentioned
899	None mentioned
900	None mentioned
901	None mentioned
902	None mentioned
903	None mentioned
904	None mentioned
905	None mentioned
906	None mentioned
907	None mentioned
908	None mentioned
910	None mentioned
911	None mentioned
912	None mentioned
913	None mentioned
914	None mentioned
915	‘Embedded’ reporter
916	None mentioned
917	None mentioned
918	None mentioned
919	None mentioned
920	None mentioned
921	None mentioned
922	None mentioned
923	None mentioned
924	None mentioned
925	None mentioned
926	None mentioned
927	None mentioned
928	None mentioned
929	None mentioned
930	None mentioned
