ID	1 - Subject of photo	2 - Event Initiator	3 - Alternative source credited?	4 - Size of Photo
1149	241	53	N/A no other source	S
1150	999	75	N/A no other source	S
1151	200	37	N/A no other source	M
1152	166	66	N/A no other source	M
1152	182	75	N/A no other source	S
1153	034	03	N/A no other source	L
1153	026	03	N/A no other source	S
1154	120	53	N/A no other source	M
1156	038	53	N/A no other source	XL
435	038	03	N/A no other source	S
81	230	11	PA	M
313	290	11	N/A no other source	S
313	282	11	N/A no other source	S
313	282	11	N/A no other source	S
313	281	11	N/A no other source	S
313	282	11	N/A no other source	S
315	200	37	N/A no other source	M
346	290	11	N/A no other source	L
387	300	09	Reuters	M
1157	130	05	Iraqi State TV/ media	L
1157	130	05	Iraqi State TV/ media	S
1157	130	05	Iraqi State TV/ media	S
1157	130	05	Iraqi State TV/ media	S
1157	130	05	Iraqi State TV/ media	S
1158	091	53	N/A no other source	S
1158	091	53	N/A no other source	S
1158	167	05	Al Jazeera	L
1158	167	05	Al Jazeera	M
1158	167	05	Al Jazeera	M
1161	034	01	N/A no other source	XL
1161	057	01	N/A no other source	M
1161	241	53	N/A no other source	M
1162	054	71	N/A no other source	S
1165	034	01	N/A no other source	M
1165	053	03	N/A no other source	S
1165	024	03	N/A no other source	XL
1165	032	01	N/A no other source	M
1165	034	01	N/A no other source	M
1168	033	03	N/A no other source	XL
1168	134	03	N/A no other source	S
1171	175	74	N/A no other source	S
1171	175	74	N/A no other source	S
1171	175	74	N/A no other source	S
1171	175	74	N/A no other source	S
1171	175	74	N/A no other source	M
1171	182	66	N/A no other source	L
1171	166	66	N/A no other source	S
1171	166	66	N/A no other source	S
1171	182	66	N/A no other source	M
1172	119	54	N/A no other source	S
1173	119	64	N/A no other source	S
1174	350	53	N/A no other source	S
1175	076	01	N/A no other source	XL
1178	145	72	N/A no other source	M
1178	130	05	Iraqi State TV/ media	M
1179	300	10	N/A no other source	S
1179	130	05	Al Jazeera	M
1179	130	05	Al Jazeera	M
1179	130	05	Al Jazeera	M
1179	130	05	Al Jazeera	M
1179	130	05	Al Jazeera	M
1179	167	05	Al Jazeera	M
1184	136	53	N/A no other source	S
1185	119	54	Other UK media source	L
1185	119	54	N/A no other source	S
1185	119	54	N/A no other source	S
1185	119	54	N/A no other source	S
1185	120	54	N/A no other source	S
1187	170	02	N/A no other source	S
1187	059	02	N/A no other source	S
1187	059	02	Corbis	M
1188	053	04	N/A no other source	S
1188	242	53	N/A no other source	M
1190	034	01	N/A no other source	L
1190	170	02	N/A no other source	S
1192	145	02	AP	XL
1193	054	01	N/A no other source	S
1193	054	01	N/A no other source	S
1194	010	05	N/A no other source	S
1194	008	05	N/A no other source	S
1194	059	74	N/A no other source	S
1195	024	03	N/A no other source	M
1195	134	03	N/A no other source	S
1195	033	03	N/A no other source	XL
1195	034	03	N/A no other source	S
1196	341	66	N/A no other source	XL
1196	179	66	N/A no other source	S
1197	182	66	N/A no other source	S
1198	401	53	N/A no other source	XL
1199	281	75	N/A no other source	S
1201	200	37	N/A no other source	M
1201	200	37	Other news agency	L
1201	203	41	N/A no other source	S
1201	203	41	N/A no other source	S
1201	200	41	N/A no other source	S
1201	202	41	N/A no other source	S
1201	203	41	N/A no other source	S
1202	059	21	Reuters	M
1202	007	71	EPA	M
1202	145	71	AP	L
1202	130	05	Al Jazeera	M
1202	145	71	AP	M
1202	149	71	Other news agency	L
1203	241	53	N/A no other source	S
1203	059	07	N/A no other source	S
1204	130	05	Iraqi State TV/ media	M
1204	130	05	Iraqi State TV/ media	M
1204	130	05	Iraqi State TV/ media	S
1204	130	05	Iraqi State TV/ media	S
1206	008	05	Reuters	L
1206	010	05	N/A no other source	M
1206	010	05	N/A no other source	S
1206	371	52	N/A no other source	M
1207	130	05	Al Jazeera	L
1207	167	05	Al Jazeera	M
1208	134	71	N/A no other source	M
1211	062	01	N/A no other source	XL
1211	241	53	N/A no other source	M
1211	403	53	N/A no other source	S
1212	024	03	Other news agency	L
1212	033	03	N/A no other source	M
1212	134	03	N/A no other source	M
1215	242	53	N/A no other source	M
1215	166	66	N/A no other source	L
1215	166	66	N/A no other source	S
1215	166	66	N/A no other source	S
1215	166	66	N/A no other source	S
1217	119	54	N/A no other source	S
1219	372	52	N/A no other source	L
1219	007	71	N/A no other source	M
1219	145	72	N/A no other source	M
1221	241	53	N/A no other source	L
1224	130	05	Al Jazeera	L
1224	241	53	N/A no other source	S
1225	135	03	Reuters	S
1226	145	72	AP	M
1226	145	72	AP	M
1226	241	53	N/A no other source	S
1227	024	01	AP	S
1227	034	01	AP	S
1228	010	05	AP	M
1228	054	71	Reuters	S
1228	039	02	AP	S
1228	033	03	UK Military/ Government	M
1229	053	03	PA	S
1230	182	66	PA	S
1232	170	02	Other US media source	M
1232	059	02	Other UK media source	M
1232	059	02	Other UK media source	M
1233	119	54	N/A no other source	S
1233	119	64	N/A no other source	S
1237	290	11	Other news agency	M
1240	059	07	EPA	M
1242	202	41	AP	M
274	401	53	Space Imaging	XL
1245	130	05	Iraqi State TV/ media	S
1245	130	05	Iraqi State TV/ media	S
1245	130	05	Iraqi State TV/ media	S
1245	130	05	Iraqi State TV/ media	S
1245	130	05	Iraqi State TV/ media	S
1245	403	53	N/A no other source	S
1248	119	54	N/A no other source	M
1248	119	54	N/A no other source	S
1250	372	52	N/A no other source	L
1250	372	52	N/A no other source	S
1250	062	01	N/A no other source	S
1251	057	01	EPA	M
1251	030	71	AP	S
1251	059	74	Other UK media source	S
1251	241	53	N/A no other source	M
1251	026	01	AP	M
1252	145	72	AP	M
1256	024	03	Reuters	M
1259	178	02	Other news agency	M
1259	148	52	N/A no other source	S
1259	241	53	N/A no other source	S
1260	059	01	Reuters	S
1262	038	03	N/A no other source	M
1262	134	01	N/A no other source	S
1263	054	02	N/A no other source	M
1265	010	05	AP	M
1267	200	37	Reuters	M
1271	130	05	Iraqi State TV/ media	L
1271	130	05	Iraqi State TV/ media	S
1271	130	05	Iraqi State TV/ media	S
1271	130	05	Iraqi State TV/ media	S
1271	130	05	Iraqi State TV/ media	S
1273	091	53	Other UK media source	M
1275	059	02	Other UK media source	S
1277	242	53	N/A no other source	S
1278	241	53	N/A no other source	L
1281	032	01	N/A no other source	M
1281	034	01	N/A no other source	M
1281	032	01	N/A no other source	M
1286	182	04	N/A no other source	S
1288	999	75	AP	M
1291	364	52	EPA	M
1293	145	72	N/A no other source	M
1296	288	13	AFP	S
1297	285	09	EPA	L
1297	285	09	US Military/ Government	S
1298	403	53	Other US media source	S
1301	130	05	Iraqi State TV/ media	M
1301	130	05	Iraqi State TV/ media	M
1302	053	03	N/A no other source	S
1305	130	05	Al Jazeera	M
1307	130	05	Al Jazeera	S
1307	130	05	Al Jazeera	M
1307	130	05	Al Jazeera	S
1308	091	53	N/A no other source	S
1308	091	53	N/A no other source	S
1309	135	01	AP	L
1312	062	03	N/A no other source	S
1312	372	52	N/A no other source	S
1312	145	72	AP	M
1315	008	05	AP	M
1315	010	05	AP	S
1315	010	05	AP	S
1318	281	53	N/A no other source	M
1316	059	07	AP	M
1321	182	66	PA	L
1321	166	66	Other news agency	S
1321	182	66	N/A no other source	M
1321	182	66	N/A no other source	S
1323	290	11	N/A no other source	M
1327	034	03	AP	M
1327	241	53	N/A no other source	M
1329	119	54	Other UK media source	M
1331	240	53	N/A no other source	M
1335	062	71	Getty Images	XL
1336	010	74	N/A no other source	M
1336	062	01	N/A no other source	XL
1339	310	01	N/A no other source	S
1340	038	03	N/A no other source	S
1340	353	03	N/A no other source	M
1341	038	03	N/A no other source	S
1343	401	53	N/A no other source	XL
1344	026	03	N/A no other source	M
1345	042	53	N/A no other source	S
1345	040	53	N/A no other source	S
1346	371	52	N/A no other source	XL
1346	058	02	N/A no other source	M
1346	059	02	N/A no other source	M
1350	034	01	N/A no other source	XL
1350	341	66	N/A no other source	S
1350	341	66	N/A no other source	S
1350	130	05	N/A no other source	S
1350	130	05	Al Jazeera	S
1354	034	01	N/A no other source	S
1354	032	01	N/A no other source	S
1356	351	13	Iraqi State TV/ media	S
1356	351	13	Iraqi State TV/ media	S
1358	170	01	N/A no other source	XL
1358	152	01	N/A no other source	S
1358	170	01	N/A no other source	S
1358	170	01	N/A no other source	S
1359	166	53	N/A no other source	S
1359	175	53	N/A no other source	S
1359	167	02	N/A no other source	S
1360	372	52	N/A no other source	XL
1360	372	52	N/A no other source	S
1361	117	53	N/A no other source	S
1362	340	75	N/A no other source	M
1365	130	05	Iraqi State TV/ media	M
1365	130	05	Iraqi State TV/ media	M
1365	136	01	N/A no other source	S
1366	241	53	N/A no other source	M
1366	034	01	Getty Images	XL
1366	026	01	N/A no other source	M
1367	166	66	N/A no other source	M
1367	166	66	N/A no other source	S
1367	182	66	N/A no other source	M
1368	016	03	Reuters	XL
1368	353	03	N/A no other source	S
1370	137	66	N/A no other source	S
1370	137	66	N/A no other source	S
1370	137	66	N/A no other source	S
1370	137	66	N/A no other source	S
1371	371	52	Reuters	L
1371	131	05	Al Jazeera	L
1371	130	05	N/A no other source	S
1371	130	05	N/A no other source	S
1371	058	52	N/A no other source	S
1372	053	03	N/A no other source	S
1373	054	53	N/A no other source	XL
1373	372	52	N/A no other source	M
1373	145	72	N/A no other source	S
1374	036	01	N/A no other source	M
1375	136	53	N/A no other source	M
1375	130	53	Iraqi State TV/ media	M
1376	351	13	Iraqi State TV/ media	S
1376	351	13	Iraqi State TV/ media	S
1377	300	09	N/A no other source	S
1378	170	02	N/A no other source	XL
1380	042	05	N/A no other source	S
1381	145	02	N/A no other source	S
1382	402	39	N/A no other source	L
1382	402	39	N/A no other source	S
1382	402	39	N/A no other source	S
1383	062	71	N/A no other source	XL
1386	038	03	N/A no other source	XL
1386	038	03	N/A no other source	L
1387	030	05	N/A no other source	XL
1387	241	53	N/A no other source	M
1390	135	01	Reuters	L
1392	042	05	N/A no other source	L
1394	341	66	N/A no other source	M
1394	130	05	Iraqi State TV/ media	S
1396	371	52	Reuters	XL
1396	130	05	Iraqi State TV/ media	S
1397	145	72	N/A no other source	M
1397	144	72	N/A no other source	M
1398	351	13	Iraqi State TV/ media	S
1398	351	13	Iraqi State TV/ media	S
1399	059	05	N/A no other source	M
1403	026	03	Reuters	L
1405	076	01	AP	S
1405	038	03	AP	M
1405	288	13	AP	S
1406	241	53	N/A no other source	L
1408	042	25	Getty Images	M
1408	040	05	N/A no other source	S
1409	059	07	AP	M
1410	053	01	N/A no other source	S
1411	058	52	Reuters	M
1415	351	13	Iraqi State TV/ media	M
1415	351	13	Iraqi State TV/ media	M
1417	351	13	AP	S
1419	403	53	N/A no other source	S
1420	341	66	AP	M
1421	134	53	N/A no other source	S
1423	290	11	PA	M
1425	363	52	EPA	S
1425	202	41	Reuters	M
1431	039	01	Reuters	L
1432	240	53	N/A no other source	S
1432	403	53	N/A no other source	S
1435	372	52	Reuters	M
1438	372	52	AP	M
1438	351	13	Iraqi State TV/ media	S
1439	010	74	AP	S
1439	241	53	N/A no other source	M
1440	008	05	EPA	S
1442	341	66	AP	M
1445	032	01	N/A no other source	L
1445	241	53	N/A no other source	M
1449	202	41	AP	M
1451	058	52	Reuters	L
1454	281	11	PA	M
1457	200	37	N/A no other source	M
1461	010	74	Reuters	L
1461	403	53	N/A no other source	S
1463	241	53	N/A no other source	M
1468	016	03	Reuters	M
1468	062	03	N/A no other source	M
1469	241	53	N/A no other source	S
1472	058	52	Reuters	S
1477	372	52	N/A no other source	M
1478	241	53	N/A no other source	S
1479	402	75	Reuters	M
1479	402	75	N/A no other source	S
1479	402	75	N/A no other source	S
1474	290	53	N/A no other source	S
1474	290	53	N/A no other source	M
1474	290	53	N/A no other source	S
1474	290	53	N/A no other source	S
1474	290	53	N/A no other source	S
1481	135	03	AP	M
1482	167	01	AP	S
1483	341	66	AP	S
1483	137	66	N/A no other source	S
1485	056	52	Reuters	M
1487	351	13	Iraqi State TV/ media	M
1489	403	75	Other media source: non-specific/ unclear	M
1494	999	75	PA	L
1496	290	11	PA	M
1499	058	51	Other UK media source	M
1499	058	51	Other US media source	S
1502	023	01	EPA	L
1503	056	52	N/A no other source	S
1505	341	66	AP	M
1505	130	05	Iraqi State TV/ media	S
1507	241	53	N/A no other source	L
1510	166	04	N/A no other source	M
1512	351	13	Reuters	S
1515	241	53	N/A no other source	S
1516	363	52	AP	M
1518	112	53	Other UK media source	M
1519	402	75	AFP	M
1519	402	75	AP	S
1524	052	01	N/A no other source	XL
1526	024	01	N/A no other source	XL
1528	062	01	N/A no other source	M
1529	172	02	N/A no other source	XL
1529	172	02	N/A no other source	S
1529	039	02	N/A no other source	S
1530	038	03	N/A no other source	S
1532	401	53	N/A no other source	XL
1533	062	71	N/A no other source	XL
1533	062	06	N/A no other source	XL
1534	038	03	N/A no other source	S
1538	290	11	N/A no other source	S
1540	166	66	N/A no other source	S
1540	175	66	N/A no other source	S
1541	166	53	N/A no other source	L
1542	166	66	N/A no other source	S
1542	166	66	N/A no other source	S
1542	166	66	N/A no other source	S
1543	130	05	N/A no other source	S
1543	130	05	N/A no other source	S
1545	037	75	N/A no other source	XL
1545	111	53	N/A no other source	S
1545	037	75	N/A no other source	S
1545	037	75	N/A no other source	S
1546	130	05	N/A no other source	S
1546	130	05	N/A no other source	S
1546	341	66	N/A no other source	S
1547	056	03	N/A no other source	S
1548	052	01	N/A no other source	XL
1548	052	01	N/A no other source	S
1548	059	01	N/A no other source	M
1549	360	71	N/A no other source	S
1550	360	03	N/A no other source	M
1550	360	03	N/A no other source	M
1550	402	53	N/A no other source	S
1551	010	75	N/A no other source	XL
1552	350	53	Reuters	S
1552	026	01	Getty Images	XL
1552	048	71	N/A no other source	M
1554	062	03	N/A no other source	S
1554	166	74	N/A no other source	S
1556	172	02	Getty Images	XL
1557	040	25	N/A no other source	S
1558	161	04	N/A no other source	XL
1558	053	03	N/A no other source	S
1560	037	04	N/A no other source	XL
1560	037	04	N/A no other source	S
1561	360	03	N/A no other source	S
1562	290	11	N/A no other source	M
1562	300	09	N/A no other source	M
1563	300	09	Reuters	S
1564	037	74	EPA	XL
1564	010	05	N/A no other source	S
1564	177	52	N/A no other source	S
1565	142	72	N/A no other source	M
1566	202	41	N/A no other source	S
1567	401	53	N/A no other source	XL
1568	166	66	N/A no other source	M
1569	166	66	N/A no other source	S
1569	166	66	N/A no other source	S
1569	166	66	N/A no other source	S
1569	166	66	N/A no other source	S
1570	166	66	N/A no other source	L
1570	166	66	N/A no other source	S
1571	166	74	N/A no other source	M
1572	056	03	N/A no other source	XL
1572	166	74	N/A no other source	S
1572	166	74	N/A no other source	S
1572	166	74	N/A no other source	S
1572	166	74	N/A no other source	S
1572	166	74	N/A no other source	S
1572	166	74	N/A no other source	S
1572	166	74	N/A no other source	S
1572	166	74	N/A no other source	S
1572	166	74	N/A no other source	S
1573	403	53	N/A no other source	S
1574	353	03	N/A no other source	XL
1576	049	71	N/A no other source	L
1576	061	53	N/A no other source	M
1576	241	53	N/A no other source	L
1578	241	53	N/A no other source	M
1579	062	04	N/A no other source	M
1581	137	66	N/A no other source	M
1581	137	66	N/A no other source	S
1583	166	74	N/A no other source	S
1583	166	74	N/A no other source	S
1583	166	74	N/A no other source	S
1583	166	74	N/A no other source	L
1583	166	74	N/A no other source	S
1583	166	74	N/A no other source	S
1583	166	74	N/A no other source	S
1583	166	74	N/A no other source	M
1583	166	74	N/A no other source	M
1584	059	07	N/A no other source	M
1586	010	74	N/A no other source	XL
1587	177	52	N/A no other source	L
1589	281	11	N/A no other source	S
1593	037	02	Other news agency	L
1596	026	03	AP	M
1596	152	01	EPA	S
1596	054	51	EPA	M
1596	054	01	AP	S
1596	353	03	AP	S
1600	054	02	EPA	M
1602	353	71	Reuters	S
1602	034	03	Getty Images	M
1602	059	22	N/A no other source	S
1603	372	74	AP	S
1605	166	74	N/A no other source	M
1605	166	74	N/A no other source	S
1605	166	74	N/A no other source	S
1605	166	74	N/A no other source	S
1608	034	07	AP	M
1611	026	03	Corbis	M
1615	202	41	Reuters	M
1617	290	11	PA	S
1623	056	03	Other news agency	L
1625	052	71	US Military/ Government	M
1627	161	04	N/A no other source	L
1627	166	66	N/A no other source	S
1627	166	66	N/A no other source	S
1629	166	66	N/A no other source	S
1629	166	66	N/A no other source	S
1629	166	66	N/A no other source	S
1629	166	66	N/A no other source	S
1632	074	53	N/A no other source	M
1636	401	53	Other media source: non-specific/ unclear	M
1636	242	53	Other media source: non-specific/ unclear	S
1637	026	03	N/A no other source	M
1637	241	53	N/A no other source	S
1639	049	01	Reuters	M
1639	241	53	N/A no other source	S
1641	202	41	PA	M
1641	290	11	N/A no other source	S
1643	402	75	AP	M
1643	402	75	AP	M
1644	075	03	N/A no other source	M
1645	372	51	N/A no other source	M
1645	999	51	N/A no other source	S
1651	037	02	AP	L
1651	403	53	N/A no other source	S
1654	036	01	Getty Images	L
1656	372	52	EPA	M
1656	372	52	AP	M
1656	054	52	AP	M
1656	350	74	N/A no other source	S
1658	161	04	N/A no other source	M
1658	241	53	N/A no other source	M
1658	061	74	Space Imaging	S
1658	016	03	Other news agency	M
1658	061	74	Space Imaging	S
1659	036	71	N/A no other source	S
1662	034	01	EPA	S
1662	241	53	N/A no other source	M
1664	255	53	AFP	M
1666	202	41	Reuters	S
1667	059	07	EPA	L
1668	076	01	Getty Images	M
1671	166	66	N/A no other source	S
1671	166	66	N/A no other source	S
1672	360	52	PA	M
1675	062	06	N/A no other source	XL
1677	026	01	EPA	M
1678	172	05	Getty Images	L
1678	037	02	N/A no other source	S
1680	241	53	N/A no other source	M
1680	354	74	N/A no other source	M
1683	166	66	N/A no other source	M
1683	166	66	N/A no other source	M
1683	166	66	N/A no other source	S
1683	166	66	N/A no other source	S
1683	166	66	N/A no other source	S
1683	166	66	N/A no other source	S
1683	166	66	N/A no other source	S
1684	026	03	N/A no other source	M
1685	241	53	N/A no other source	M
1688	161	04	N/A no other source	M
1688	353	03	Other UK media source	S
1688	353	03	Other UK media source	S
1690	052	01	US Military/ Government	M
1692	240	53	N/A no other source	M
1695	300	09	Reuters	M
1697	112	53	N/A no other source	S
1697	116	53	N/A no other source	S
1697	116	53	N/A no other source	S
1697	116	53	N/A no other source	S
1701	053	03	N/A no other source	S
1702	371	51	Al Jazeera	M
1703	032	01	N/A no other source	S
1703	134	01	N/A no other source	S
1704	037	02	EPA	L
1704	037	02	EPA	L
1705	053	03	N/A no other source	M
1709	401	53	N/A no other source	XL
1710	026	01	N/A no other source	S
1710	056	01	N/A no other source	S
1711	145	74	N/A no other source	M
1710	039	01	Reuters	M
1710	039	01	Reuters	M
1710	039	01	Reuters	XL
1712	075	53	N/A no other source	S
1713	026	03	N/A no other source	XL
1713	026	03	N/A no other source	M
1713	134	03	N/A no other source	S
1714	059	06	N/A no other source	S
1719	054	72	N/A no other source	XL
1719	054	72	N/A no other source	S
1720	038	03	N/A no other source	M
1720	340	66	N/A no other source	S
1722	166	74	N/A no other source	XL
1722	166	74	N/A no other source	S
1725	166	66	N/A no other source	S
1725	182	66	N/A no other source	S
1727	360	03	N/A no other source	L
1727	372	52	N/A no other source	XL
1728	360	03	N/A no other source	M
1728	402	53	N/A no other source	S
1728	402	53	N/A no other source	S
1729	054	52	N/A no other source	L
1729	300	09	Reuters	L
1730	054	02	Reuters	XL
1730	054	02	AP	S
1730	142	02	Reuters	S
1731	290	11	Reuters	M
1732	037	02	N/A no other source	XL
1733	025	01	N/A no other source	S
1735	372	52	N/A no other source	S
1737	154	01	N/A no other source	XL
1740	300	09	Reuters	M
1740	300	09	Reuters	XL
1740	300	09	Reuters	S
1740	300	09	AP	S
1740	300	09	AP	S
1741	401	53	Other named commercial satellite	XL
1742	360	71	N/A no other source	L
1742	116	74	N/A no other source	S
1743	037	72	N/A no other source	M
1743	142	72	N/A no other source	M
1743	177	52	N/A no other source	XL
1744	059	07	N/A no other source	M
1744	059	07	N/A no other source	S
1745	120	53	N/A no other source	S
1746	038	03	N/A no other source	XL
1746	340	66	N/A no other source	S
1747	166	66	N/A no other source	XL
1748	182	66	N/A no other source	M
1748	182	66	N/A no other source	M
1748	166	66	N/A no other source	S
1749	166	66	N/A no other source	M
1749	166	66	N/A no other source	S
1750	042	53	N/A no other source	S
1750	040	53	N/A no other source	L
1751	166	66	N/A no other source	L
1751	132	05	Al Jazeera	S
1751	132	05	Al Jazeera	S
1751	145	74	AP	XL
1752	037	02	N/A no other source	XL
1758	360	71	N/A no other source	L
1758	134	03	N/A no other source	M
1760	371	52	N/A no other source	M
1760	054	72	N/A no other source	XL
1760	054	72	N/A no other source	M
1760	054	72	N/A no other source	S
1761	116	53	N/A no other source	M
1763	166	66	N/A no other source	L
1763	166	66	N/A no other source	M
1765	356	53	N/A no other source	XL
1769	140	72	N/A no other source	S
1769	054	72	N/A no other source	S
1769	054	72	Reuters	S
1771	154	01	N/A no other source	S
1771	300	09	N/A no other source	S
1771	162	74	N/A no other source	M
1771	038	03	N/A no other source	S
1771	360	69	N/A no other source	S
1772	241	53	N/A no other source	S
1772	037	02	N/A no other source	M
1774	140	71	N/A no other source	M
1776	038	03	AP	S
1776	241	53	N/A no other source	S
1778	037	04	AP	S
1780	360	69	AP	M
1780	036	53	N/A no other source	S
1781	360	69	Reuters	S
1783	290	11	N/A no other source	S
1786	401	53	N/A no other source	L
1787	054	72	N/A no other source	S
1789	300	09	AP	M
1791	135	71	Getty Images	M
1796	142	02	Reuters	L
1799	037	02	EPA	M
1799	037	02	EPA	S
1799	161	04	AP	S
1799	039	01	Reuters	S
1799	241	53	N/A no other source	M
1801	149	01	N/A no other source	M
1802	130	05	Al Jazeera	S
1802	130	05	Al Jazeera	S
1804	401	53	N/A no other source	XL
1805	360	71	Reuters	L
1806	134	03	N/A no other source	M
1809	113	55	Other US media source	M
1809	114	57	Iraqi State TV/ media	S
1809	115	59	Al Jazeera	S
1809	112	53	Other UK media source	S
1811	300	09	AP	M
1812	999	75	N/A no other source	S
1812	999	75	N/A no other source	S
1812	321	75	N/A no other source	S
1812	999	75	N/A no other source	S
1814	053	01	Other news agency	M
1815	056	03	N/A no other source	L
1815	372	51	N/A no other source	S
1816	166	66	N/A no other source	S
1816	166	66	N/A no other source	S
1820	037	02	N/A no other source	L
1821	371	52	Al Jazeera	S
1822	039	01	N/A no other source	M
1823	241	53	N/A no other source	S
1824	061	74	Space Imaging	M
1825	372	52	PA	L
1827	053	03	AP	M
1830	054	71	Reuters	L
1830	241	53	N/A no other source	S
1833	137	66	AP	S
1834	038	03	UK Military/ Government	M
1834	063	03	UK Military/ Government	S
1836	117	61	Internet source	S
1836	117	61	Internet source	S
1836	402	75	N/A no other source	S
1837	402	75	N/A no other source	S
1838	999	75	N/A no other source	M
1841	166	66	N/A no other source	M
1841	166	66	N/A no other source	M
1844	054	72	Reuters	M
1846	290	11	AP	M
1847	062	01	Reuters	M
1848	999	75	N/A no other source	S
1851	154	01	N/A no other source	L
1854	054	02	Reuters	M
1856	360	71	AP	M
1856	360	71	N/A no other source	M
1858	037	02	EPA	L
1858	037	02	EPA	M
1858	024	01	EPA	S
1860	039	01	Reuters	L
1861	137	74	N/A no other source	S
1862	401	53	N/A no other source	L
1863	166	66	N/A no other source	M
1863	166	66	N/A no other source	S
1866	300	09	Reuters	M
1869	290	11	Reuters	M
1871	059	07	AP	M
1874	038	03	N/A no other source	S
1875	999	04	PA	M
1878	038	03	N/A no other source	M
1878	999	53	N/A no other source	S
1882	166	66	N/A no other source	L
1882	166	66	N/A no other source	L
1883	062	06	N/A no other source	S
1884	062	06	N/A no other source	XL
1884	038	03	N/A no other source	M
1884	353	03	N/A no other source	S
1886	355	71	N/A no other source	S
1887	351	13	Other UK media source	S
1887	048	71	N/A no other source	S
1887	039	01	N/A no other source	XL
1887	034	01	N/A no other source	M
1888	230	71	N/A no other source	S
1892	364	52	N/A no other source	S
1892	040	05	N/A no other source	M
1893	360	71	N/A no other source	S
1894	401	53	N/A no other source	XL
1898	166	66	N/A no other source	S
1899	111	53	N/A no other source	S
1900	062	01	N/A no other source	XL
1901	054	74	N/A no other source	S
1902	024	03	N/A no other source	XL
1902	053	03	N/A no other source	S
1902	034	03	N/A no other source	S
1902	038	03	N/A no other source	S
1902	370	51	N/A no other source	S
1903	166	66	N/A no other source	S
1903	166	66	N/A no other source	S
1903	371	25	Al Jazeera	S
1904	402	53	N/A no other source	L
1904	056	03	N/A no other source	S
1905	038	53	N/A no other source	XL
1906	340	66	N/A no other source	M
1906	340	66	N/A no other source	M
1907	166	66	N/A no other source	M
1909	166	66	N/A no other source	M
1909	166	66	N/A no other source	M
1909	371	51	Al Jazeera	S
1909	290	11	N/A no other source	S
1910	150	01	Reuters	XL
1910	363	52	N/A no other source	S
1912	062	03	N/A no other source	XL
1912	062	06	N/A no other source	M
1912	026	03	N/A no other source	M
1913	230	71	N/A no other source	M
1914	230	71	N/A no other source	XL
1917	114	57	Iraqi State TV/ media	S
1917	177	52	N/A no other source	M
1918	054	02	N/A no other source	XL
1918	172	05	N/A no other source	L
1918	172	05	N/A no other source	S
1920	034	01	Getty Images	S
1920	032	74	Reuters	S
1921	401	53	N/A no other source	XL
1922	075	03	N/A no other source	S
1923	321	53	Al Jazeera	S
1924	242	53	N/A no other source	L
1925	166	66	N/A no other source	M
1925	999	74	N/A no other source	M
1925	180	66	N/A no other source	S
1926	166	66	N/A no other source	S
1927	166	66	N/A no other source	M
1927	166	66	N/A no other source	M
1927	166	66	N/A no other source	S
1929	034	03	N/A no other source	XL
1929	034	03	N/A no other source	M
1931	062	03	N/A no other source	XL
1931	062	06	N/A no other source	L
1933	242	53	N/A no other source	L
1934	230	71	N/A no other source	L
1936	039	01	N/A no other source	S
1938	054	02	N/A no other source	XL
1939	364	52	N/A no other source	XL
1939	040	25	Reuters	M
1939	145	72	N/A no other source	S
1943	364	52	Getty Images	L
1945	034	01	Reuters	L
1945	230	71	Reuters	S
1945	135	03	N/A no other source	S
1946	401	53	N/A no other source	M
1948	166	66	N/A no other source	S
1948	166	66	N/A no other source	S
1949	172	05	AP	M
1950	034	01	EPA	M
1950	053	01	EPA	S
1950	241	53	N/A no other source	S
1951	241	53	N/A no other source	S
1951	241	53	N/A no other source	S
1952	241	53	N/A no other source	S
1953	365	13	EPA	M
1953	145	02	Al Jazeera	S
1953	371	52	Al Jazeera	S
1954	054	74	AFP	S
1957	230	71	Reuters	M
1960	034	01	Reuters	M
1962	360	71	Getty Images	M
1964	045	05	Getty Images	M
1967	230	71	Reuters	M
1971	360	71	Getty Images	M
1973	149	01	Reuters	L
1973	154	01	Reuters	S
1973	241	53	N/A no other source	S
1975	353	74	Getty Images	L
1975	241	53	N/A no other source	L
1976	285	13	N/A no other source	S
1977	054	02	AP	L
1978	034	01	AP	S
1981	154	01	N/A no other source	L
1982	172	05	N/A no other source	S
1983	076	01	AP	M
1985	115	53	Al Jazeera	M
1987	255	31	Reuters	M
1989	230	71	N/A no other source	M
1992	200	37	N/A no other source	M
1995	340	66	N/A no other source	M
1995	241	53	N/A no other source	S
1998	037	02	Reuters	L
1998	241	53	N/A no other source	S
1999	403	53	N/A no other source	S
2001	166	66	N/A no other source	M
2001	166	66	N/A no other source	S
2003	038	03	UK Military/ Government	M
2003	242	53	N/A no other source	S
2006	059	07	N/A no other source	M
2006	241	53	N/A no other source	S
2008	285	09	Getty Images	M
2010	056	03	Reuters	M
2012	999	53	N/A no other source	S
2012	999	53	N/A no other source	S
2012	999	53	N/A no other source	S
2012	999	53	N/A no other source	S
2012	999	53	N/A no other source	S
2015	232	17	PA	M
2019	230	71	AP	M
2021	034	71	N/A no other source	M
2023	034	03	N/A no other source	M
2024	241	53	N/A no other source	S
2025	365	71	N/A no other source	M
2025	403	53	N/A no other source	S
2029	363	52	N/A no other source	XL
2031	023	02	AP	M
2034	171	01	AP	L
