ID	1 - Subject of photo	2 - Event Initiator	3 - Alternative source credited?	4 - Size of Photo
476	010	52	N/A no other source	XL
476	372	52	N/A no other source	S
477	026	03	PA	M
479	062	01	AP	M
581	372	52	Reuters	M
484	074	53	N/A no other source	L
484	063	53	N/A no other source	M
486	076	53	N/A no other source	M
486	075	53	N/A no other source	S
486	075	53	N/A no other source	S
486	075	53	N/A no other source	S
486	075	53	N/A no other source	S
488	010	05	Other news agency	M
490	063	01	AP	S
495	202	41	EPA	M
495	241	53	N/A no other source	S
494	231	15	EPA	M
499	290	11	N/A no other source	M
503	200	37	N/A no other source	M
507	026	03	N/A no other source	M
507	403	53	N/A no other source	S
511	231	17	AP	M
515	059	07	Getty Images	M
520	350	74	Reuters	M
521	063	01	AP	L
522	063	53	N/A no other source	M
522	053	53	N/A no other source	S
522	039	53	N/A no other source	M
522	040	53	N/A no other source	M
522	036	53	N/A no other source	M
522	074	53	N/A no other source	L
522	062	53	N/A no other source	
523	205	45	AP	S
523	402	75	AP	S
525	038	03	N/A no other source	M
528	200	37	N/A no other source	M
530	232	17	AP	L
534	053	01	N/A no other source	M
535	403	53	N/A no other source	S
537	288	13	N/A no other source	S
540	350	53	N/A no other source	M
540	350	53	N/A no other source	M
540	350	53	N/A no other source	M
540	350	53	N/A no other source	M
542	078	11	N/A no other source	S
543	039	01	N/A no other source	M
544	075	03	PA	L
545	037	04	N/A no other source	M
547	232	17	N/A no other source	M
550	400	75	AP	M
552	400	19	EPA	M
554	400	75	Reuters	M
554	241	53	N/A no other source	S
557	281	11	N/A no other source	S
561	200	37	PA	M
564	026	01	N/A no other source	L
565	038	03	N/A no other source	L
566	049	03	PA	L
568	053	01	Reuters	M
568	241	53	N/A no other source	M
568	053	03	PA	M
574	038	03	N/A no other source	S
576	232	17	AP	M
62	038	03	N/A no other source	S
632	200	37	AP	M
255	038	22	N/A no other source	XL
255	049	03	N/A no other source	S
256	036	03	N/A no other source	S
260	351	13	Iraqi State TV/ media	S
260	300	09	N/A no other source	S
262	038	03	N/A no other source	XL
262	403	53	N/A no other source	S
263	120	53	N/A no other source	S
265	281	11	N/A no other source	XL
265	280	11	N/A no other source	S
266	280	11	N/A no other source	S
267	281	11	N/A no other source	S
268	053	01	N/A no other source	XL
268	063	71	N/A no other source	M
271	372	52	Other US media source	XL
271	040	06	N/A no other source	M
271	205	52	N/A no other source	S
272	094	15	N/A no other source	S
275	285	09	N/A no other source	S
276	063	71	N/A no other source	S
276	063	71	N/A no other source	S
278	038	03	N/A no other source	XL
278	026	03	N/A no other source	S
278	075	03	N/A no other source	S
279	038	03	N/A no other source	M
282	281	53	N/A no other source	L
282	999	53	N/A no other source	S
282	111	53	N/A no other source	S
283	111	53	N/A no other source	M
283	402	53	N/A no other source	S
284	400	75	N/A no other source	M
284	400	75	N/A no other source	M
285	300	53	N/A no other source	L
285	039	01	N/A no other source	M
286	290	11	N/A no other source	L
286	403	53	N/A no other source	S
288	038	03	N/A no other source	XL
288	026	03	N/A no other source	S
289	290	11	N/A no other source	L
289	281	11	N/A no other source	S
289	282	11	N/A no other source	S
289	282	11	N/A no other source	S
289	282	11	N/A no other source	S
289	281	11	N/A no other source	S
289	281	11	N/A no other source	S
293	281	11	N/A no other source	M
294	281	11	N/A no other source	S
295	300	09	N/A no other source	M
298	038	03	N/A no other source	M
301	063	53	N/A no other source	XL
479	059	07	N/A no other source	S
481	038	03	PA	M
585	200	37	N/A no other source	M
589	402	37	N/A no other source	M
596	059	74	N/A no other source	XL
598	053	03	N/A no other source	XL
598	241	53	N/A no other source	M
598	038	03	N/A no other source	S
598	038	03	N/A no other source	S
598	038	03	N/A no other source	S
600	007	71	N/A no other source	XL
600	007	71	N/A no other source	S
600	007	71	N/A no other source	S
600	007	71	N/A no other source	S
600	241	53	N/A no other source	M
600	062	03	N/A no other source	S
600	062	03	N/A no other source	S
604	049	03	N/A no other source	XL
604	038	03	N/A no other source	S
604	063	03	N/A no other source	M
604	062	03	N/A no other source	S
604	112	53	N/A no other source	S
605	111	53	N/A no other source	S
606	290	11	N/A no other source	L
606	053	11	N/A no other source	M
606	062	11	N/A no other source	M
613	036	01	N/A no other source	XL
613	351	13	Iraqi State TV/ media	S
613	300	09	N/A no other source	S
617	120	53	N/A no other source	S
617	999	53	N/A no other source	S
617	403	53	N/A no other source	M
619	007	71	N/A no other source	XL
619	038	03	Reuters	M
619	026	03	N/A no other source	M
620	053	01	N/A no other source	S
620	024	03	Reuters	XL
620	053	01	Reuters	M
622	032	71	N/A no other source	L
622	059	74	N/A no other source	S
622	036	71	N/A no other source	S
622	038	03	N/A no other source	S
622	063	03	N/A no other source	M
622	038	03	N/A no other source	S
624	007	01	AP	XL
624	145	01	N/A no other source	S
624	145	01	N/A no other source	S
625	024	01	N/A no other source	S
625	024	01	N/A no other source	S
625	062	01	N/A no other source	S
626	290	11	Other UK media source	M
626	200	37	N/A no other source	S
631	401	53	N/A no other source	XL
632	232	17	N/A no other source	S
1	063	03	N/A no other source	S
2	403	53	N/A no other source	S
2	230	71	N/A no other source	L
2	062	01	N/A no other source	S
2	038	03	N/A no other source	S
2	053	03	N/A no other source	S
4	038	65	N/A no other source	S
8	063	03	N/A no other source	XL
