ID	1 - Subject of visual	2 - Event Initiator	3 - Alternative source credited?
79	059	07	Iraqi State TV/ media
79	300	57	Iraqi State TV/ media
79	354	57	Iraqi State TV/ media
80	038	03	N/A no other source
80	037	04	N/A no other source
80	049	03	N/A no other source
80	039	01	N/A no other source
80	341	66	N/A no other source
80	076	01	N/A no other source
80	062	71	N/A no other source
80	053	71	N/A no other source
81	053	03	UK Military/ Government
83	288	13	N/A no other source
83	372	52	N/A no other source
83	010	05	N/A no other source
84	063	71	N/A no other source
85	091	53	N/A no other source
85	002	03	N/A no other source
85	241	53	N/A no other source
86	200	37	N/A no other source
86	280	11	N/A no other source
86	281	11	N/A no other source
86	290	11	N/A no other source
88	241	53	N/A no other source
88	365	19	N/A no other source
88	253	32	N/A no other source
88	053	71	N/A no other source
88	400	32	N/A no other source
89	999	75	N/A no other source
89	112	53	N/A no other source
90	400	32	N/A no other source
90	115	59	Al Jazeera
90	116	63	N/A no other source
90	075	03	N/A no other source
92	372	52	N/A no other source
93	054	71	N/A no other source
94	024	01	N/A no other source
95	400	20	N/A no other source
95	049	03	N/A no other source
95	032	03	N/A no other source
95	038	03	N/A no other source
95	054	05	N/A no other source
95	111	53	N/A no other source
97	010	53	N/A no other source
97	002	71	N/A no other source
97	007	71	N/A no other source
97	008	05	N/A no other source
97	054	71	N/A no other source
97	114	58	Iraqi State TV/ media
97	351	13	Iraqi State TV/ media
97	288	13	N/A no other source
97	116	63	N/A no other source
97	204	48	N/A no other source
97	288	13	N/A no other source
97	144	13	N/A no other source
98	351	53	N/A no other source
98	350	53	N/A no other source
100	285	09	N/A no other source
100	300	09	N/A no other source
100	279	09	N/A no other source
100	351	13	N/A no other source
100	279	09	N/A no other source
100	999	74	N/A no other source
100	039	01	N/A no other source
100	999	75	N/A no other source
101	290	11	N/A no other source
101	280	11	N/A no other source
101	112	53	N/A no other source
101	278	11	N/A no other source
101	281	11	N/A no other source
101	200	37	N/A no other source
102	241	53	N/A no other source
102	003	71	N/A no other source
102	004	05	N/A no other source
102	054	71	N/A no other source
102	054	74	Abu Dhabi
102	053	01	N/A no other source
102	021	74	N/A no other source
103	200	37	N/A no other source
104	200	37	N/A no other source
105	280	11	N/A no other source
106	203	41	N/A no other source
106	999	71	N/A no other source
106	292	75	N/A no other source
106	312	75	N/A no other source
106	202	41	N/A no other source
108	063	01	N/A no other source
108	032	01	N/A no other source
108	279	09	N/A no other source
108	024	71	N/A no other source
108	053	71	N/A no other source
109	251	35	N/A no other source
109	283	30	N/A no other source
109	999	30	N/A no other source
109	200	37	N/A no other source
110	230	74	N/A no other source
111	006	74	N/A no other source
115	007	71	N/A no other source
115	114	13	Iraqi State TV/ media
115	351	13	Iraqi State TV/ media
115	145	72	N/A no other source
115	010	05	N/A no other source
116	006	53	N/A no other source
116	241	53	N/A no other source
117	241	53	N/A no other source
117	062	01	N/A no other source
117	049	01	N/A no other source
118	024	01	N/A no other source
120	049	03	N/A no other source
120	111	53	N/A no other source
120	038	03	N/A no other source
121	053	01	N/A no other source
121	032	01	N/A no other source
122	063	71	N/A no other source
123	279	09	N/A no other source
123	285	09	N/A no other source
123	300	09	N/A no other source
123	091	53	N/A no other source
123	201	39	N/A no other source
123	279	09	N/A no other source
123	287	75	N/A no other source
125	203	41	N/A no other source
125	202	41	N/A no other source
125	232	19	N/A no other source
126	290	09	N/A no other source
126	200	37	N/A no other source
126	282	09	N/A no other source
126	230	74	N/A no other source
