ID	1 - Subject of visual	2 - Event Initiator	3 - Alternative source credited?
346	203	41	N/A no other source
346	232	17	N/A no other source
346	999	75	N/A no other source
347	032	03	N/A no other source
347	053	03	N/A no other source
347	280	11	N/A no other source
347	999	75	N/A no other source
347	038	03	N/A no other source
349	018	03	N/A no other source
349	144	04	N/A no other source
349	181	04	N/A no other source
349	362	74	N/A no other source
349	363	52	N/A no other source
349	241	53	N/A no other source
349	062	03	N/A no other source
349	353	03	N/A no other source
349	360	03	N/A no other source
349	026	03	N/A no other source
349	056	03	N/A no other source
349	371	52	N/A no other source
350	053	01	N/A no other source
350	033	74	N/A no other source
350	054	02	N/A no other source
350	363	52	N/A no other source
350	056	01	N/A no other source
350	039	21	N/A no other source
351	241	53	N/A no other source
351	059	01	Other US media source
351	039	01	N/A no other source
351	034	01	N/A no other source
351	053	01	N/A no other source
351	002	01	N/A no other source
351	063	01	N/A no other source
351	056	01	N/A no other source
353	115	59	Al Jazeera
353	230	71	N/A no other source
353	371	52	Al Jazeera
353	278	03	N/A no other source
353	115	59	N/A no other source
353	058	02	Al Jazeera
353	024	71	N/A no other source
353	241	53	N/A no other source
353	278	11	N/A no other source
353	062	03	N/A no other source
353	002	71	N/A no other source
355	070	71	N/A no other source
355	230	71	N/A no other source
355	300	09	N/A no other source
355	290	11	N/A no other source
356	232	17	N/A no other source
357	024	02	N/A no other source
357	054	02	N/A no other source
357	241	53	N/A no other source
358	350	13	Iraqi State TV/ media
358	054	02	N/A no other source
358	048	71	N/A no other source
358	372	52	N/A no other source
358	365	13	N/A no other source
358	288	13	N/A no other source
358	046	72	N/A no other source
359	241	53	N/A no other source
359	039	01	N/A no other source
359	059	01	N/A no other source
360	242	53	N/A no other source
361	242	53	N/A no other source
362	201	39	N/A no other source
362	202	41	N/A no other source
362	203	41	N/A no other source
363	024	71	N/A no other source
363	279	09	N/A no other source
363	371	52	N/A no other source
363	290	11	N/A no other source
363	285	09	N/A no other source
363	054	72	N/A no other source
363	046	72	N/A no other source
363	091	53	N/A no other source
363	360	71	N/A no other source
365	241	53	N/A no other source
366	034	71	N/A no other source
366	032	71	N/A no other source
366	230	71	N/A no other source
366	300	09	N/A no other source
366	290	11	N/A no other source
366	371	52	Al Jazeera
368	062	03	N/A no other source
368	018	03	N/A no other source
368	017	74	N/A no other source
368	241	53	N/A no other source
368	363	52	N/A no other source
368	056	03	N/A no other source
368	353	03	N/A no other source
369	059	01	N/A no other source
369	053	01	N/A no other source
369	034	01	N/A no other source
369	002	01	N/A no other source
370	059	02	N/A no other source
371	053	01	N/A no other source
371	033	74	N/A no other source
371	054	02	N/A no other source
371	363	52	N/A no other source
371	056	01	N/A no other source
371	039	21	N/A no other source
372	177	52	N/A no other source
372	148	52	Can’t determine
372	046	72	N/A no other source
372	054	72	N/A no other source
372	371	52	N/A no other source
372	372	52	N/A no other source
372	110	74	N/A no other source
373	278	11	N/A no other source
373	310	11	UK Military/ Government
374	372	52	N/A no other source
374	360	03	N/A no other source
374	371	52	N/A no other source
374	056	03	N/A no other source
374	271	52	N/A no other source
375	034	03	N/A no other source
375	056	03	N/A no other source
375	365	03	N/A no other source
375	372	52	N/A no other source
375	053	03	N/A no other source
375	059	03	N/A no other source
375	354	13	N/A no other source
376	119	74	Can’t determine
377	180	66	N/A no other source
377	053	03	N/A no other source
377	166	66	N/A no other source
378	054	74	N/A no other source
378	371	52	N/A no other source
378	177	52	N/A no other source
378	181	52	N/A no other source
378	140	74	N/A no other source
378	144	74	N/A no other source
379	363	52	N/A no other source
379	055	05	N/A no other source
379	062	03	N/A no other source
379	053	71	Al Jazeera
379	058	05	Al Jazeera
379	371	52	Al Jazeera
379	056	03	N/A no other source
381	140	74	N/A no other source
381	181	74	N/A no other source
381	144	74	N/A no other source
382	241	53	N/A no other source
382	033	74	N/A no other source
382	062	01	N/A no other source
382	034	01	N/A no other source
382	063	01	N/A no other source
382	062	06	N/A no other source
382	057	07	N/A no other source
383	062	01	N/A no other source
383	039	01	N/A no other source
383	071	01	N/A no other source
383	241	53	N/A no other source
383	033	74	N/A no other source
383	034	03	N/A no other source
383	278	03	N/A no other source
383	279	03	N/A no other source
384	279	09	N/A no other source
384	300	09	N/A no other source
384	285	09	N/A no other source
384	063	09	N/A no other source
384	053	09	N/A no other source
386	202	41	N/A no other source
386	999	31	N/A no other source
387	053	03	N/A no other source
387	036	03	N/A no other source
387	360	03	N/A no other source
387	056	03	N/A no other source
387	372	52	N/A no other source
388	180	66	N/A no other source
388	166	66	Can’t determine
388	371	52	Al Jazeera
388	290	11	N/A no other source
388	278	11	N/A no other source
388	300	09	N/A no other source
389	182	03	N/A no other source
389	254	03	N/A no other source
391	140	72	N/A no other source
391	054	72	N/A no other source
393	241	53	N/A no other source
393	037	74	N/A no other source
393	062	01	N/A no other source
393	032	01	N/A no other source
391	046	72	N/A no other source
391	371	52	N/A no other source
391	144	72	N/A no other source
391	181	72	N/A no other source
393	056	74	N/A no other source
393	370	52	N/A no other source
393	371	52	N/A no other source
393	076	01	N/A no other source
393	034	01	N/A no other source
393	059	01	N/A no other source
395	241	53	N/A no other source
395	018	03	N/A no other source
395	062	03	N/A no other source
395	075	03	N/A no other source
395	371	52	N/A no other source
395	056	03	N/A no other source
395	038	03	N/A no other source
395	362	74	N/A no other source
395	360	74	Al Jazeera
395	058	05	Iraqi State TV/ media
395	371	52	Iraqi State TV/ media
397	290	11	N/A no other source
398	300	09	N/A no other source
398	279	09	N/A no other source
398	254	01	N/A no other source
399	038	53	N/A no other source
399	002	53	N/A no other source
399	041	53	N/A no other source
399	279	09	N/A no other source
399	285	09	N/A no other source
399	091	53	N/A no other source
399	241	53	N/A no other source
400	132	59	Al Jazeera
402	114	57	Iraqi State TV/ media
402	354	13	Iraqi State TV/ media
402	007	71	N/A no other source
402	002	71	N/A no other source
402	091	53	N/A no other source
402	120	53	N/A no other source
403	999	75	N/A no other source
405	241	53	N/A no other source
405	140	74	Al Jazeera
405	144	74	Al Jazeera
405	140	74	Abu Dhabi
405	177	52	Abu Dhabi
405	177	52	Other Arab media (not specific reporter)
405	181	74	Other Arab media (not specific reporter)
405	144	74	Other Arab media (not specific reporter)
406	241	53	N/A no other source
406	058	05	Al Jazeera
406	053	71	Al Jazeera
406	371	52	Iraqi State TV/ media
406	054	71	Al Jazeera
406	363	52	N/A no other source
406	056	03	N/A no other source
406	062	03	N/A no other source
406	360	03	N/A no other source
406	271	52	N/A no other source
406	036	03	N/A no other source
406	052	03	N/A no other source
406	024	03	N/A no other source
406	037	04	N/A no other source
407	025	74	N/A no other source
407	024	03	N/A no other source
407	278	03	N/A no other source
407	062	01	N/A no other source
407	053	01	N/A no other source
407	063	01	N/A no other source
407	071	01	N/A no other source
407	013	72	N/A no other source
407	279	09	N/A no other source
407	034	71	N/A no other source
407	310	71	N/A no other source
411	279	09	N/A no other source
411	285	09	N/A no other source
411	071	01	N/A no other source
411	078	09	N/A no other source
411	300	09	N/A no other source
411	076	01	N/A no other source
411	113	55	N/A no other source
411	285	09	N/A no other source
411	039	01	N/A no other source
414	290	11	N/A no other source
414	166	66	Can’t determine
414	230	11	N/A no other source
414	371	52	Al Jazeera
414	180	66	N/A no other source
414	278	11	N/A no other source
416	202	41	N/A no other source
417	353	07	N/A no other source
417	034	07	N/A no other source
417	050	07	N/A no other source
417	135	24	Other Arab media (not specific reporter)
417	134	24	Other Arab media (not specific reporter)
418	054	72	Al Jazeera
418	177	52	Al Jazeera
418	144	72	Other Arab media (not specific reporter)
418	181	52	Other Arab media (not specific reporter)
418	140	52	Abu Dhabi
418	372	52	N/A no other source
419	036	03	N/A no other source
419	254	03	N/A no other source
419	158	04	N/A no other source
419	053	03	N/A no other source
420	241	53	N/A no other source
420	062	02	N/A no other source
420	288	13	Al Jazeera
420	279	01	N/A no other source
420	039	02	N/A no other source
420	057	03	N/A no other source
420	134	03	N/A no other source
420	371	52	Al Jazeera
421	241	53	N/A no other source
451	371	52	N/A no other source
451	034	03	N/A no other source
451	353	03	N/A no other source
451	054	03	N/A no other source
451	093	74	N/A no other source
451	050	03	N/A no other source
451	136	75	N/A no other source
451	354	52	N/A no other source
451	360	03	N/A no other source
451	271	52	N/A no other source
452	034	03	N/A no other source
452	033	03	N/A no other source
452	032	03	N/A no other source
452	135	24	N/A no other source
452	062	06	N/A no other source
452	063	01	N/A no other source
452	372	52	N/A no other source
454	007	71	N/A no other source
454	007	71	Other Arab media (not specific reporter)
455	057	01	N/A no other source
455	053	01	N/A no other source
455	059	07	N/A no other source
455	032	74	N/A no other source
456	232	19	N/A no other source
456	024	71	N/A no other source
456	285	09	N/A no other source
456	400	74	N/A no other source
456	115	59	Other Arab media (not specific reporter)
456	202	41	Other Arab media (not specific reporter)
458	242	53	N/A no other source
458	074	53	N/A no other source
458	062	02	N/A no other source
458	058	05	N/A no other source
458	057	01	N/A no other source
458	059	74	N/A no other source
458	288	13	N/A no other source
458	042	25	Al Jazeera
460	038	03	N/A no other source
460	166	74	N/A no other source
460	062	03	N/A no other source
460	091	53	N/A no other source
460	340	66	N/A no other source
461	112	53	Other UK media source
461	999	75	N/A no other source
462	007	71	N/A no other source
463	241	53	N/A no other source
463	033	01	N/A no other source
463	372	52	N/A no other source
463	113	55	N/A no other source
463	279	01	N/A no other source
463	062	71	N/A no other source
463	056	03	N/A no other source
463	071	01	N/A no other source
463	002	71	N/A no other source
509	034	03	N/A no other source
510	242	53	N/A no other source
510	241	53	N/A no other source
511	007	01	N/A no other source
512	002	01	N/A no other source
512	024	01	N/A no other source
512	062	01	N/A no other source
512	135	01	N/A no other source
512	153	01	N/A no other source
512	034	01	N/A no other source
513	024	01	N/A no other source
513	062	01	N/A no other source
514	241	53	N/A no other source
514	034	01	N/A no other source
514	372	52	N/A no other source
514	350	53	Can’t determine
514	242	53	N/A no other source
514	062	01	N/A no other source
516	002	71	N/A no other source
516	046	71	N/A no other source
516	054	71	N/A no other source
516	114	57	Iraqi State TV/ media
516	024	05	Iraqi State TV/ media
516	350	13	Iraqi State TV/ media
516	372	52	N/A no other source
517	032	03	N/A no other source
517	054	03	N/A no other source
517	140	74	N/A no other source
517	057	03	N/A no other source
517	056	03	N/A no other source
517	110	05	N/A no other source
517	031	05	N/A no other source
518	119	54	N/A no other source
519	290	11	N/A no other source
519	280	11	N/A no other source
519	282	11	N/A no other source
519	281	11	N/A no other source
519	285	53	N/A no other source
521	137	66	N/A no other source
521	138	01	US Military/ Government
521	341	65	N/A no other source
521	113	55	N/A no other source
521	999	53	N/A no other source
523	062	01	N/A no other source
523	026	01	N/A no other source
523	279	01	N/A no other source
523	002	01	N/A no other source
523	054	01	N/A no other source
523	024	01	N/A no other source
524	024	01	N/A no other source
525	034	01	N/A no other source
525	033	01	N/A no other source
525	032	01	N/A no other source
525	054	01	N/A no other source
525	135	01	N/A no other source
525	279	01	N/A no other source
525	061	01	US Military/ Government
541	031	05	N/A no other source
541	033	74	N/A no other source
541	110	54	N/A no other source
541	002	01	N/A no other source
542	300	09	N/A no other source
543	016	03	N/A no other source
543	062	03	N/A no other source
543	059	03	N/A no other source
543	056	03	N/A no other source
543	034	03	N/A no other source
543	371	52	N/A no other source
543	145	74	N/A no other source
543	353	03	N/A no other source
543	135	03	N/A no other source
544	056	03	N/A no other source
544	360	03	N/A no other source
544	372	03	N/A no other source
545	057	03	N/A no other source
545	056	03	N/A no other source
545	135	03	N/A no other source
545	364	52	N/A no other source
545	053	03	N/A no other source
545	363	52	N/A no other source
545	134	03	N/A no other source
546	242	53	N/A no other source
547	119	53	N/A no other source
547	279	09	N/A no other source
547	285	09	N/A no other source
548	242	53	N/A no other source
548	288	53	N/A no other source
548	241	53	N/A no other source
548	095	53	N/A no other source
548	288	53	Iraqi State TV/ media
549	242	53	N/A no other source
551	241	53	N/A no other source
553	024	01	N/A no other source
553	054	01	N/A no other source
553	135	01	N/A no other source
553	061	01	US Military/ Government
553	026	01	N/A no other source
553	058	02	N/A no other source
553	059	01	US Military/ Government
553	062	01	N/A no other source
554	242	53	N/A no other source
554	241	53	N/A no other source
554	071	01	N/A no other source
555	025	01	N/A no other source
555	170	05	N/A no other source
557	300	09	N/A no other source
557	341	66	N/A no other source
557	070	09	N/A no other source
557	053	09	N/A no other source
558	230	74	N/A no other source
558	285	09	N/A no other source
558	203	41	N/A no other source
558	232	17	N/A no other source
559	053	03	N/A no other source
559	016	03	N/A no other source
559	062	03	N/A no other source
559	057	03	N/A no other source
559	149	74	N/A no other source
559	353	03	N/A no other source
559	074	13	N/A no other source
559	056	03	N/A no other source
559	056	03	UK Military/ Government
560	145	72	N/A no other source
560	063	71	N/A no other source
560	281	11	N/A no other source
560	032	71	N/A no other source
560	242	53	N/A no other source
560	002	71	N/A no other source
560	059	05	Iraqi State TV/ media
561	999	53	N/A no other source
561	200	37	N/A no other source
563	241	53	N/A no other source
563	008	01	N/A no other source
563	062	01	N/A no other source
563	054	01	N/A no other source
563	010	01	N/A no other source
563	053	01	N/A no other source
563	135	01	N/A no other source
563	370	52	N/A no other source
563	057	01	N/A no other source
563	074	01	N/A no other source
564	010	01	N/A no other source
565	062	03	N/A no other source
565	372	52	N/A no other source
565	018	03	N/A no other source
565	016	03	N/A no other source
565	041	03	N/A no other source
565	135	03	N/A no other source
566	352	13	Iraqi State TV/ media
566	354	13	Iraqi State TV/ media
566	351	13	Iraqi State TV/ media
566	181	52	N/A no other source
566	145	72	N/A no other source
566	363	52	N/A no other source
567	063	01	N/A no other source
567	054	01	N/A no other source
567	026	01	N/A no other source
567	057	01	N/A no other source
567	059	01	N/A no other source
569	241	53	N/A no other source
569	091	53	Can’t determine
569	071	01	N/A no other source
569	310	01	N/A no other source
572	241	53	N/A no other source
572	002	01	N/A no other source
572	034	07	N/A no other source
572	031	05	N/A no other source
572	353	07	N/A no other source
572	054	01	N/A no other source
573	352	13	Iraqi State TV/ media
574	241	53	N/A no other source
574	352	13	Iraqi State TV/ media
574	354	13	Iraqi State TV/ media
574	254	07	N/A no other source
574	002	71	N/A no other source
574	288	13	N/A no other source
574	154	71	N/A no other source
574	114	58	Iraqi State TV/ media
575	352	13	Iraqi State TV/ media
575	350	53	Iraqi State TV/ media
576	043	25	Al Jazeera
577	241	53	N/A no other source
578	241	53	N/A no other source
578	054	01	N/A no other source
578	010	01	N/A no other source
578	008	01	N/A no other source
578	062	01	N/A no other source
578	149	01	N/A no other source
578	136	01	N/A no other source
579	008	01	N/A no other source
580	002	01	N/A no other source
580	034	07	N/A no other source
580	031	05	N/A no other source
580	353	07	N/A no other source
580	054	01	N/A no other source
580	241	53	N/A no other source
581	241	53	N/A no other source
581	054	01	N/A no other source
581	026	01	N/A no other source
581	063	01	N/A no other source
581	059	05	N/A no other source
582	134	03	N/A no other source
583	999	75	N/A no other source
583	181	75	N/A no other source
583	130	74	N/A no other source
583	138	01	US Military/ Government
583	113	55	N/A no other source
583	341	55	N/A no other source
584	241	53	N/A no other source
584	008	01	N/A no other source
584	054	01	N/A no other source
584	010	01	N/A no other source
584	062	01	N/A no other source
584	135	01	N/A no other source
584	039	01	N/A no other source
584	370	52	N/A no other source
584	353	01	N/A no other source
585	352	13	Iraqi State TV/ media
585	288	13	N/A no other source
585	043	25	Al Jazeera
585	145	74	N/A no other source
585	181	75	N/A no other source
585	140	74	N/A no other source
585	363	52	N/A no other source
585	010	05	N/A no other source
586	026	01	N/A no other source
586	054	01	N/A no other source
586	135	01	N/A no other source
586	024	01	N/A no other source
586	063	01	N/A no other source
586	062	01	N/A no other source
586	053	01	N/A no other source
587	241	53	N/A no other source
587	071	01	N/A no other source
587	279	01	N/A no other source
587	242	53	N/A no other source
587	061	01	US Military/ Government
588	241	53	N/A no other source
588	016	03	N/A no other source
588	062	03	N/A no other source
588	041	03	N/A no other source
588	059	03	N/A no other source
588	135	03	N/A no other source
588	134	03	N/A no other source
589	034	01	N/A no other source
589	059	07	N/A no other source
589	002	01	N/A no other source
589	057	07	N/A no other source
589	310	07	N/A no other source
589	135	07	N/A no other source
591	260	09	N/A no other source
591	254	75	N/A no other source
592	400	53	N/A no other source
592	182	74	N/A no other source
592	115	59	N/A no other source
594	241	53	N/A no other source
594	054	01	Other US media source
594	008	01	Other US media source
594	010	01	Other US media source
594	134	24	Other US media source
594	371	52	Other US media source
594	071	01	N/A no other source
594	009	01	N/A no other source
594	059	01	Videophone used
596	040	05	Iraqi State TV/ media
596	371	52	N/A no other source
596	288	13	N/A no other source
596	040	05	N/A no other source
596	111	53	N/A no other source
596	054	71	N/A no other source
596	062	05	N/A no other source
598	241	53	N/A no other source
598	071	01	N/A no other source
598	010	01	Can’t determine
421	034	03	N/A no other source
421	032	03	N/A no other source
421	062	03	N/A no other source
421	279	01	N/A no other source
421	061	01	US Military/ Government
421	372	52	N/A no other source
421	372	52	Al Jazeera
421	145	74	Al Jazeera
422	371	52	N/A no other source
422	372	52	N/A no other source
422	360	03	N/A no other source
422	362	74	N/A no other source
422	056	03	N/A no other source
423	178	52	N/A no other source
423	054	74	N/A no other source
423	372	52	N/A no other source
423	145	74	N/A no other source
423	181	52	N/A no other source
425	202	41	N/A no other source
426	032	07	N/A no other source
426	034	07	N/A no other source
427	054	05	N/A no other source
428	158	03	N/A no other source
429	999	53	N/A no other source
429	130	05	Al Jazeera
429	137	66	N/A no other source
429	254	75	N/A no other source
429	113	55	N/A no other source
432	241	53	N/A no other source
432	362	52	UK Military/ Government
432	056	03	UK Military/ Government
432	031	03	N/A no other source
432	050	03	N/A no other source
432	353	03	N/A no other source
432	032	03	N/A no other source
432	057	03	N/A no other source
433	032	01	N/A no other source
433	053	01	N/A no other source
433	002	01	N/A no other source
433	360	01	N/A no other source
434	007	71	N/A no other source
434	002	71	N/A no other source
434	241	53	N/A no other source
434	285	02	Other US media source
434	059	25	Al Jazeera
434	010	05	N/A no other source
434	288	05	N/A no other source
434	053	03	N/A no other source
434	057	03	N/A no other source
434	056	03	N/A no other source
435	071	01	N/A no other source
435	279	09	N/A no other source
435	007	71	N/A no other source
435	039	01	N/A no other source
435	285	09	Other US media source
435	285	09	N/A no other source
435	053	01	N/A no other source
435	057	03	N/A no other source
435	059	71	N/A no other source
435	372	01	US Military/ Government
435	300	09	N/A no other source
438	038	03	N/A no other source
438	053	03	N/A no other source
438	061	03	UK Military/ Government
438	002	03	N/A no other source
439	202	41	N/A no other source
440	111	53	N/A no other source
440	095	53	N/A no other source
440	095	53	Other UK media source
440	119	53	N/A no other source
441	241	53	N/A no other source
441	007	71	Abu Dhabi
441	048	71	N/A no other source
441	054	71	N/A no other source
441	145	72	N/A no other source
441	040	57	Iraqi State TV/ media
441	288	13	N/A no other source
441	053	01	N/A no other source
441	057	01	N/A no other source
441	034	01	N/A no other source
441	061	01	N/A no other source
441	360	01	N/A no other source
441	002	01	N/A no other source
441	095	53	Can’t determine
441	167	01	N/A no other source
442	007	71	Abu Dhabi
443	034	03	N/A no other source
443	371	52	N/A no other source
443	062	03	N/A no other source
443	033	03	N/A no other source
443	136	75	N/A no other source
443	354	51	N/A no other source
443	271	04	N/A no other source
444	038	03	N/A no other source
444	166	74	N/A no other source
444	181	03	N/A no other source
444	053	01	N/A no other source
444	242	53	N/A no other source
444	033	03	N/A no other source
444	036	03	N/A no other source
446	281	11	N/A no other source
447	285	09	N/A no other source
447	300	09	N/A no other source
447	113	53	N/A no other source
447	279	09	N/A no other source
447	135	01	N/A no other source
449	113	55	Iraqi State TV/ media
450	007	71	Abu Dhabi
451	056	03	N/A no other source
451	370	52	N/A no other source
494	203	41	N/A no other source
495	321	25	N/A no other source
496	341	66	N/A no other source
496	999	74	N/A no other source
496	137	66	N/A no other source
496	279	09	N/A no other source
496	113	53	N/A no other source
496	040	53	N/A no other source
496	062	71	N/A no other source
496	230	09	N/A no other source
496	300	09	N/A no other source
498	321	49	N/A no other source
498	999	75	N/A no other source
498	177	52	Other Arab media (not specific reporter)
498	140	74	Abu Dhabi
498	112	53	N/A no other source
500	352	13	Iraqi State TV/ media
501	241	53	N/A no other source
502	024	01	N/A no other source
502	062	01	N/A no other source
502	071	01	N/A no other source
502	034	01	N/A no other source
502	054	01	N/A no other source
502	057	01	N/A no other source
502	056	01	N/A no other source
503	054	01	N/A no other source
503	241	53	N/A no other source
503	288	13	N/A no other source
503	145	02	N/A no other source
503	007	71	N/A no other source
504	350	13	Iraqi State TV/ media
505	241	53	N/A no other source
505	242	53	N/A no other source
505	137	01	N/A no other source
505	033	01	N/A no other source
505	138	01	US Military/ Government
505	279	01	N/A no other source
506	137	66	N/A no other source
506	999	75	N/A no other source
506	341	66	N/A no other source
506	062	01	N/A no other source
506	130	53	Al Jazeera
506	057	01	N/A no other source
506	053	01	N/A no other source
507	002	01	N/A no other source
507	059	07	N/A no other source
507	033	74	N/A no other source
507	054	01	N/A no other source
507	034	07	N/A no other source
508	119	54	N/A no other source
509	057	03	N/A no other source
509	135	03	N/A no other source
509	056	03	N/A no other source
509	353	74	N/A no other source
464	034	03	N/A no other source
464	062	03	N/A no other source
464	056	03	N/A no other source
464	057	03	N/A no other source
464	052	03	N/A no other source
464	063	03	N/A no other source
464	360	03	N/A no other source
464	054	74	Al Jazeera
464	145	72	Al Jazeera
466	181	52	N/A no other source
466	145	72	N/A no other source
466	063	52	N/A no other source
466	054	71	Abu Dhabi
466	371	51	Al Jazeera
466	354	51	N/A no other source
468	136	01	N/A no other source
468	279	09	N/A no other source
468	053	01	N/A no other source
468	999	09	N/A no other source
468	289	75	N/A no other source
468	372	53	N/A no other source
468	354	53	N/A no other source
468	300	09	N/A no other source
469	112	53	N/A no other source
470	203	41	N/A no other source
471	056	01	N/A no other source
471	057	01	N/A no other source
471	400	53	N/A no other source
471	034	01	Al Jazeera
471	056	03	N/A no other source
471	091	53	N/A no other source
471	057	01	Al Jazeera
473	112	53	N/A no other source
473	278	11	N/A no other source
473	053	71	N/A no other source
473	034	71	N/A no other source
473	279	01	N/A no other source
473	113	53	Other US media source
473	113	53	Iraqi State TV/ media
474	241	53	N/A no other source
474	002	01	N/A no other source
474	053	01	N/A no other source
474	039	01	N/A no other source
474	033	01	N/A no other source
474	062	01	N/A no other source
474	172	05	N/A no other source
474	371	52	N/A no other source
475	279	09	N/A no other source
476	140	72	N/A no other source
476	063	71	N/A no other source
476	143	72	N/A no other source
476	057	01	N/A no other source
476	279	01	N/A no other source
476	044	05	N/A no other source
476	135	71	N/A no other source
476	032	71	N/A no other source
476	054	74	N/A no other source
476	007	71	N/A no other source
476	007	71	Other Arab media (not specific reporter)
478	288	13	Iraqi State TV/ media
479	056	03	UK Military/ Government
479	034	03	N/A no other source
479	371	52	N/A no other source
479	002	03	N/A no other source
479	135	03	UK Military/ Government
479	063	03	N/A no other source
479	354	74	N/A no other source
479	056	03	N/A no other source
480	059	05	Al Jazeera
481	232	09	N/A no other source
482	200	37	N/A no other source
482	281	11	N/A no other source
482	095	53	N/A no other source
483	999	75	N/A no other source
483	242	53	N/A no other source
485	241	53	N/A no other source
485	062	01	N/A no other source
485	002	01	N/A no other source
485	034	01	N/A no other source
485	024	01	N/A no other source
485	279	01	N/A no other source
485	138	01	US Military/ Government
485	371	52	Iraqi State TV/ media
485	059	25	Iraqi State TV/ media
485	056	01	N/A no other source
485	370	52	N/A no other source
488	241	53	N/A no other source
488	071	01	N/A no other source
488	054	72	N/A no other source
488	063	53	N/A no other source
489	241	53	N/A no other source
489	145	72	N/A no other source
489	181	52	N/A no other source
489	178	52	N/A no other source
491	241	53	N/A no other source
491	059	05	N/A no other source
491	031	74	N/A no other source
491	032	03	N/A no other source
491	140	72	N/A no other source
491	365	69	N/A no other source
491	056	03	N/A no other source
491	057	03	N/A no other source
491	135	03	UK Military/ Government
491	372	52	N/A no other source
492	290	11	N/A no other source
493	062	03	N/A no other source
494	202	41	N/A no other source
525	058	05	Iraqi State TV/ media
525	034	01	Other US media source
526	241	53	N/A no other source
527	007	71	N/A no other source
527	002	71	N/A no other source
527	288	13	N/A no other source
527	372	52	N/A no other source
527	054	71	N/A no other source
527	010	05	N/A no other source
530	241	53	N/A no other source
530	002	03	N/A no other source
530	038	03	UK Military/ Government
530	017	03	N/A no other source
530	062	03	N/A no other source
530	354	74	N/A no other source
530	054	03	N/A no other source
530	149	03	N/A no other source
530	016	03	N/A no other source
530	059	03	N/A no other source
530	362	74	N/A no other source
530	353	03	N/A no other source
530	056	03	N/A no other source
531	279	09	N/A no other source
532	242	53	N/A no other source
533	290	11	N/A no other source
533	300	09	N/A no other source
533	071	09	N/A no other source
533	230	09	N/A no other source
533	279	09	N/A no other source
535	119	53	N/A no other source
535	279	09	N/A no other source
535	054	74	N/A no other source
535	999	75	N/A no other source
536	281	11	N/A no other source
536	280	11	N/A no other source
537	200	37	N/A no other source
537	999	53	N/A no other source
537	290	11	N/A no other source
537	281	11	N/A no other source
537	111	53	N/A no other source
538	006	74	N/A no other source
539	241	53	N/A no other source
539	110	53	N/A no other source
539	111	53	N/A no other source
539	023	01	N/A no other source
540	024	01	N/A no other source
540	054	01	N/A no other source
540	062	01	N/A no other source
540	059	01	N/A no other source
540	071	01	N/A no other source
541	034	07	N/A no other source
599	176	03	N/A no other source
600	353	03	N/A no other source
600	018	03	N/A no other source
600	056	03	N/A no other source
600	057	03	N/A no other source
600	135	03	N/A no other source
603	241	53	N/A no other source
603	062	03	N/A no other source
603	018	03	N/A no other source
603	054	03	N/A no other source
603	002	03	N/A no other source
603	016	03	N/A no other source
603	149	03	N/A no other source
603	370	52	Videophone used
603	095	53	Can’t determine
603	053	03	N/A no other source
604	241	53	N/A no other source
604	008	01	N/A no other source
604	039	01	N/A no other source
604	062	01	N/A no other source
604	054	01	N/A no other source
604	053	01	N/A no other source
604	002	01	N/A no other source
604	355	01	N/A no other source
605	145	72	N/A no other source
605	181	75	N/A no other source
605	007	71	N/A no other source
605	288	13	N/A no other source
605	111	53	N/A no other source
605	054	02	N/A no other source
607	054	02	N/A no other source
607	002	01	N/A no other source
607	034	07	N/A no other source
607	031	05	N/A no other source
607	110	05	N/A no other source
608	242	53	N/A no other source
609	119	56	Other US media source
611	300	09	N/A no other source
611	062	01	N/A no other source
611	134	01	N/A no other source
611	039	01	N/A no other source
611	279	09	N/A no other source
611	230	71	N/A no other source
611	290	11	N/A no other source
611	285	09	Other US media source
611	285	09	N/A no other source
611	232	17	N/A no other source
611	091	53	N/A no other source
611	360	53	N/A no other source
612	062	03	N/A no other source
612	016	03	N/A no other source
612	017	03	N/A no other source
612	053	03	N/A no other source
612	018	03	N/A no other source
612	054	03	N/A no other source
612	370	52	N/A no other source
613	062	03	Videophone used
613	018	03	Videophone used
614	062	03	Videophone used
614	370	52	Videophone used
615	016	03	N/A no other source
615	034	03	N/A no other source
615	050	03	N/A no other source
615	053	03	N/A no other source
615	063	06	N/A no other source
616	054	02	N/A no other source
616	002	01	N/A no other source
616	034	07	N/A no other source
616	031	05	N/A no other source
616	110	05	N/A no other source
617	054	05	N/A no other source
617	040	05	N/A no other source
617	062	05	N/A no other source
617	120	64	N/A no other source
617	054	01	N/A no other source
618	008	01	N/A no other source
618	039	01	N/A no other source
618	062	01	N/A no other source
618	054	01	N/A no other source
618	002	01	N/A no other source
619	240	53	N/A no other source
620	241	53	N/A no other source
620	004	01	N/A no other source
620	062	01	N/A no other source
620	059	24	N/A no other source
620	155	01	N/A no other source
620	135	01	N/A no other source
620	054	01	N/A no other source
620	288	13	N/A no other source
620	350	13	Iraqi State TV/ media
622	039	01	N/A no other source
622	355	01	N/A no other source
623	241	53	N/A no other source
623	310	01	N/A no other source
623	279	01	N/A no other source
623	039	01	N/A no other source
623	062	01	N/A no other source
623	034	01	N/A no other source
623	278	11	N/A no other source
623	094	53	N/A no other source
624	241	53	N/A no other source
624	018	03	N/A no other source
