Story ID	Ranking	Subject (Whom)	Tone
52	S	503	Straight
52	P	555	Straight
52	P	998	Straight
52	P	697	Straight
53	M	500	Straight
53	M	543	Straight
53	S	527	Straight
53	P	833	Straight
53	P	555	Straight
53	P	697	Straight
54	M	681	Straight
54	M	676	Straight
54	P	640	Straight
54	P	600	Straight
54	P	649	Straight
55	M	620	Straight
55	M	845	Straight
55	S	600	Straight
55	S	843	Straight
55	P	640	Straight
55	P	500	Straight
56	S	850	Straight
56	M	640	Straight
56	S	801	Straight
56	S	644	Straight
56	S	600	Straight
56	S	782	Straight
56	P	783	Straight
56	P	844	Straight
56	P	658	Straight
56	P	526	Straight
56	P	620	Straight
56	P	901	Straight
57	M	500	Straight
57	M	543	Straight
57	P	526	Straight
57	S	527	Straight
57	P	512	Straight
57	P	528	Straight
57	P	998	Straight
57	P	573	Straight
58	M	500	Straight
58	S	514	Straight
58	S	543	Straight
58	P	730	Straight
58	P	640	Straight
59	S	543	Straight
59	S	540	Straight
59	S	500	Straight
59	P	503	Straight
59	S	526	Straight
60	M	500	Straight
60	S	543	Straight
60	P	998	Straight
60	S	544	Straight
61	M	526	Straight
61	M	543	Straight
63	M	850	Straight
63	S	732	Mixed
63	S	735	Mixed
63	S	640	Straight
63	P	681	Straight
63	P	620	Straight
63	P	677	Straight
63	S	643	Straight
63	M	645	Straight
64	M	850	Straight
64	P	649	Straight
64	S	643	Straight
64	P	620	Straight
64	P	641	Straight
64	P	681	Straight
64	P	998	Straight
65	P	677	Straight
65	M	697	Straight
65	P	649	Straight
65	P	600	Straight
65	P	640	Straight
65	P	681	Straight
65	P	815	Straight
65	P	526	Straight
65	P	620	Straight
65	P	703	Straight
66	M	681	Straight
66	M	649	Straight
66	P	999	Straight
67	M	697	Straight
67	S	649	Straight
67	M	692	Straight
67	P	815	Straight
67	S	834	Straight
67	S	526	Straight
68	S	783	Straight
68	S	681	Straight
68	P	697	Straight
68	P	801	Straight
68	P	802	Straight
68	P	803	Straight
68	M	676	Straight
68	P	600	Straight
69	M	620	Straight
69	S	607	Straight
69	S	600	Straight
69	S	621	Straight
69	P	622	Straight
69	P	603	Straight
69	P	602	Straight
69	P	844	Straight
69	P	500	Straight
69	S	801	Straight
69	S	802	Straight
69	P	781	Straight
69	S	803	Straight
69	S	783	Straight
69	S	805	Straight
69	P	782	Straight
