ID	Coding frame used	Tone
319	Battle	33
320	Civilian casualties	24
321	Civilian casualties	25
322	Battle	18
323	Battle	25
324	Battle	40
325	Not applicable	
326	Humanitarian issues (aid delivery)	33
327	Justification: Humanitarian (Blairite)	19
328	Battle	32
329	Coalition military casualties	25
330	Justification: Humanitarian (Blairite)	19
331	Not applicable	
332	Not applicable	
333	Civilian casualties	02
334	Not applicable	
335	Not applicable	
336	Not applicable	
337	Coalition military casualties	25
338	Battle	25
339	Battle	34
340	Battle	26
341	Battle	35
341	Coalition military casualties	18
342	Battle	26
343	Battle	32
343	Civilian casualties	98
344	Strategy	18
345	Not applicable	
346	Not applicable	
347	Not applicable	
348	Strategy	18
348	Battle	32
349	Battle	25
349	Humanitarian issues (aid delivery)	25
349	Justification: Humanitarian (Blairite)	17
350	Coalition military casualties	18
351	Strategy	34
352	Battle	17
353	Not applicable	
354	Justification: Humanitarian (Blairite)	19
354	Justification: WMDs	25
354	Coalition military casualties	25
355	Justification: Humanitarian (Blairite)	40
356	Not applicable	
357	Battle	26
358	Not applicable	
359	Battle	32
359	Strategy	32
360	Not applicable	
361	Coalition military casualties	32
362	Not applicable	
363	Justification: Humanitarian (Blairite)	24
364	Justification: Humanitarian (Blairite)	32
365	Battle	32
366	Justification: Humanitarian (Blairite)	40
366	Battle	40
367	Not applicable	
368	Battle	33
369	Battle	34
370	Not applicable	
371	Coalition military casualties	18
372	Civilian casualties	32
373	Justification: WMDs	19
374	Humanitarian issues (aid delivery)	25
375	Humanitarian issues (aid delivery)	33
376	Not applicable	
377	Coalition military casualties	25
378	Civilian casualties	24
379	Battle	25
380	Strategy	25
381	Civilian casualties	24
382	Battle	26
383	Strategy	26
384	Not applicable	
385	Not applicable	
386	Not applicable	
387	Humanitarian issues (aid delivery)	33
388	Coalition military casualties	17
389	Coalition military casualties	25
391	Civilian casualties	24
392	Civilian casualties	32
393	Battle	26
394	Battle	35
395	Battle	25
396	Battle	40
397	Not applicable	
398	Not applicable	
399	Strategy	26
400	Coalition military casualties	25
401	Not applicable	
402	Not applicable	
403	Not applicable	
404	Civilian casualties	26
405	Civilian casualties	24
406	Humanitarian issues (aid delivery)	25
406	Battle	25
407	Strategy	32
408	Not applicable	
409	Not applicable	
410	Battle	25
411	Strategy	18
412	Not applicable	
413	Humanitarian issues (aid delivery)	25
414	Coalition military casualties	17
415	Not applicable	
416	Not applicable	
417	Not applicable	
418	Civilian casualties	18
419	Coalition military casualties	25
420	Battle	18
421	Battle	40
422	Justification: Humanitarian (Blairite)	24
422	Humanitarian issues (aid delivery)	24
423	Civilian casualties	24
424	Not applicable	
425	Not applicable	
426	Battle	40
427	Battle	03
428	Coalition military casualties	01
429	Not applicable	
430	Battle	27
431	Battle	32
432	Battle	25
433	Battle	26
434	Battle	32
435	Strategy	18
436	Strategy	26
437	Not applicable	
438	Battle	33
439	Not applicable	
440	Not applicable	
441	Battle	32
442	Battle	32
443	Battle	25
444	Coalition military casualties	18
445	Coalition military casualties	25
446	Battle	32
447	Not applicable	
448	Not applicable	
449	Not applicable	
450	Civilian casualties	24
451	Battle	33
452	Battle	33
453	Battle	33
454	Battle	32
455	Battle	32
456	Not applicable	
457	Not applicable	
458	Strategy	35
459	Civilian casualties	18
460	Coalition military casualties	24
461	Justification: Humanitarian (Blairite)	33
462	Battle	32
463	Civilian casualties	18
463	Battle	32
464	Battle	25
465	Battle	25
466	Civilian casualties	24
467	Not applicable	
468	Not applicable	
469	Not applicable	
470	Not applicable	
471	Strategy	26
472	Not applicable	
473	Not applicable	
474	Battle	34
475	Not applicable	
476	Civilian casualties	18
477	Not applicable	
478	Not applicable	
479	Battle	33
480	Battle	32
481	Not applicable	
482	Not applicable	
483	Not applicable	
484	Civilian casualties	26
484	Battle	32
485	Battle	40
486	Battle	40
487	Battle	26
488	Strategy	32
488	Civilian casualties	24
489	Civilian casualties	18
490	Battle	27
491	Battle	25
492	Not applicable	
493	Not applicable	
494	Not applicable	
495	Not applicable	
496	Battle	34
497	Not applicable	
498	Justification: War on Terror	24
499	Not applicable	
500	Not applicable	
501	Not applicable	
502	Battle	40
503	Battle	27
503	Civilian casualties	24
504	Not applicable	
505	Battle	34
506	Battle	34
507	Battle	40
508	Not applicable	
509	Battle	33
509	Justification: Humanitarian (Blairite)	33
510	Strategy	27
510	Justification: WMDs	19
511	Battle	08
512	Battle	34
513	Battle	26
514	Strategy	32
515	Battle	32
516	Battle	27
517	Battle	25
518	Not applicable	
519	Not applicable	
520	Not applicable	
521	Not applicable	
522	Battle	32
523	Battle	40
524	Battle	26
525	Battle	26
526	Battle	26
526	Strategy	27
527	Battle	27
528	Battle	32
529	Humanitarian issues (aid delivery)	24
529	Battle	32
530	Battle	25
531	Battle	40
532	Coalition military casualties	32
533	Not applicable	
534	Not applicable	
535	Not applicable	
536	Civilian casualties	25
537	Justification: Humanitarian (Blairite)	24
538	Battle	26
538	Civilian casualties	18
539	Battle	34
540	Battle	34
541	Battle	32
542	Battle	34
543	Battle	33
544	Humanitarian issues (aid delivery)	33
544	Justification: Humanitarian (Blairite)	19
546	Not applicable	
547	Not applicable	
548	Justification: Humanitarian (Blairite)	19
549	Not applicable	
550	Battle	34
551	Battle	34
552	Battle	34
553	Battle	34
554	Strategy	27
555	Battle	26
556	Battle	27
557	Battle	34
558	Not applicable	
559	Battle	33
560	Civilian casualties	24
561	Not applicable	
562	Battle	40
563	Battle	34
564	Battle	34
565	Battle	25
566	Civilian casualties	24
567	Battle	34
568	Not applicable	
569	Justification: WMDs	32
569	Strategy	26
570	Battle	34
571	Not applicable	
572	Battle	32
573	Battle	40
574	Not applicable	
575	Not applicable	
576	Battle	27
577	Battle	27
577	Coalition military casualties	26
578	Battle	34
579	Battle	34
580	Battle	32
581	Battle	34
582	Battle	19
583	Not applicable	
584	Battle	34
585	Not applicable	
586	Battle	34
587	Strategy	34
588	Battle	25
589	Battle	40
590	Battle	34
591	Not applicable	
592	Justification: War on Terror	24
593	Battle	40
594	Battle	34
595	Battle	34
596	Battle	19
597	Battle	32
597	Civilian casualties	18
598	Strategy	26
599	Not applicable	
600	Battle	25
601	Battle	34
602	Battle	26
603	Battle	33
604	Battle	34
605	Battle	27
605	Civilian casualties	24
606	Battle	32
607	Battle	18
608	Coalition military casualties	32
608	Civilian casualties	24
609	Not applicable	
610	Battle	40
611	Not applicable	
612	Battle	33
613	Battle	33
614	Battle	41
615	Battle	33
616	Battle	18
617	Battle	27
618	Battle	34
619	Not applicable	
620	Battle	34
621	Not applicable	
622	Battle	26
623	Justification: WMDs	32
624	Battle	33
625	Battle	33
626	Strategy	33
626	Battle	33
