ID	Coding frame used	Tone
1147	Humanitarian issues (aid delivery)	31
1148	Humanitarian issues (aid delivery)	31
1149	Not applicable	
1150	Not applicable	
1151	Justification: War on Terror	41
1151	Justification: WMDs	41
1151	Justification: Humanitarian (Blairite)	41
1152	Not applicable	
1153	Battle	40
1154	Battle	40
1155	Not applicable	
1156	Battle	33
1157	Battle	34
1158	Battle	34
1159	Not applicable	
1160	Not applicable	
1161	Civilian casualties	27
1162	Coalition military casualties	25
1163	Not applicable	
1164	Not applicable	
1165	Battle	32
1166	Battle	25
1167	Battle	26
1168	Not applicable	
1169	Battle	08
1170	Not applicable	
1171	Not applicable	
1172	Civilian casualties	24
1173	Justification: WMDs	19
1174	Justification: WMDs	19
1175	Humanitarian issues (aid delivery)	32
1176	Coalition military casualties	17
1177	Strategy	26
1178	Battle	32
1179	Not applicable	
1180	Battle	32
1181	Battle	33
1182	Coalition military casualties	25
1183	Coalition military casualties	25
1184	Battle	33
1185	Coalition military casualties	19
1186	Battle	32
1187	Civilian casualties	32
1188	Civilian casualties	25
1189	Battle	27
1190	Battle	27
1191	Coalition military casualties	33
1192	Coalition military casualties	25
1193	Battle	25
1194	Battle	33
1195	Battle	26
1196	Battle	26
1197	Not applicable	
1198	Not applicable	
1199	Not applicable	
1200	Restoration of law and order (post-conflict)	24
1200	Humanitarian issues (aid delivery)	24
1201	Restoration of law and order (post-conflict)	23
1202	Not applicable	
1203	Restoration of law and order (post-conflict)	26
1203	Battle	26
1204	Humanitarian issues (aid delivery)	24
1205	Not applicable	
1206	Battle	40
1206	Restoration of law and order (post-conflict)	32
1207	Battle	34
1208	Battle	27
1209	Battle	34
1210	Battle	26
1210	Justification: War on Terror	34
1211	Battle	34
1212	Justification: Humanitarian (Blairite)	19
1213	Battle	33
1214	Battle	40
1215	Humanitarian issues (aid delivery)	24
1216	Not applicable	
1217	Battle	40
1218	Battle	26
1218	Coalition military casualties	26
1219	Battle	24
1220	Battle	18
1221	Battle	26
1222	Civilian casualties	24
1223	Civilian casualties	19
1224	Battle	25
1225	Battle	40
1226	Not applicable	
1227	Not applicable	
1228	Not applicable	
1229	Coalition military casualties	25
1230	Strategy	32
1231	Battle	25
1232	Coalition military casualties	02
1233	Strategy	26
1234	Strategy	26
1235	Battle	34
1236	Battle	32
1237	Battle	40
1238	Battle	34
1239	Battle	34
1240	Battle	26
1241	Battle	34
1241	Strategy	26
1242	Battle	33
1242	Justification: Humanitarian (Blairite)	19
1243	Not applicable	
1244	Battle	34
1245	Battle	33
1246	Battle	33
1247	Battle	33
1247	Coalition military casualties	25
1248	Coalition military casualties	18
1249	Battle	27
1250	Battle	34
1251	Battle	26
1252	Not applicable	
1253	Not applicable	
1254	Restoration of law and order (post-conflict)	26
1255	Justification: War on Terror	26
1256	Not applicable	
1257	Not applicable	
1258	Not applicable	
1259	Battle	40
1260	Battle	32
1261	Battle	32
1261	Civilian casualties	24
1262	Battle	32
1263	Battle	40
1264	Battle	34
1265	Humanitarian issues (aid delivery)	32
1265	Battle	40
1266	Not applicable	
1267	Not applicable	
1268	Restoration of law and order (post-conflict)	26
1269	Not applicable	
1270	Humanitarian issues (aid delivery)	24
1270	Restoration of law and order (post-conflict)	24
1271	Humanitarian issues (aid delivery)	32
1271	Restoration of law and order (post-conflict)	32
1272	Not applicable	
1273	Restoration of law and order (post-conflict)	18
1274	Coalition military casualties	25
1275	Restoration of law and order (post-conflict)	24
1276	Battle	40
1277	Not applicable	
1278	Not applicable	
1279	Justification: Humanitarian (Blairite)	19
1280	Not applicable	
1281	Justification: WMDs	18
1282	Not applicable	
1283	Not applicable	
1284	Humanitarian issues (aid delivery)	32
1285	Not applicable	
1286	Not applicable	
1287	Not applicable	
1288	Battle	32
1289	Battle	32
1290	Battle	08
1291	Battle	19
1292	Battle	32
1293	Coalition military casualties	18
1294	Not applicable	
