Story ID	Ranking	Subject (What)	Event Initiator	Tone
36	S	467	52	19
36	S	400	52	19
36	S	384	52	19
37	1	090	74	25
37	1	027	03	25
37	S	148	03	33
37	S	017	03	25
37	S	013	04	25
38	1	090	71	26
38	1	353	09	26
38	M	384	01	19
38	S	396	09	26
38	S	037	09	19
38	S	252	09	18
38	S	164	09	26
39	1	395	11	25
39	M	386	11	19
39	S	483	74	25
40	1	350	53	25
40	M	242	53	25
40	S	285	11	25
40	S	325	11	25
40	S	321	11	25
40	S	453	11	25
41	1	350	53	25
41	M	242	53	25
41	M	325	11	17
41	S	140	11	25
41	S	137	11	25
42	1	300	53	17
42	M	136	53	17
43	1	265	41	24
43	S	290	71	40
43	S	262	41	24
44	1	234	53	32
44	1	060	53	32
44	1	094	53	32
44	S	405	53	32
45	1	350	11	25
45	M	241	11	17
45	S	360	11	25
46	1	483	19	24
47	M	241	11	17
47	1	350	11	25
48	1	350	11	25
48	M	241	11	17
48	S	242	11	25
48	M	148	11	25
48	S	243	11	17
48	S	273	11	23
48	S	277	11	25
48	S	360	11	25
49	1	350	11	25
49	M	241	11	17
50	1	350	11	25
50	M	241	11	17
50	S	360	11	25
51	1	353	09	26
51	1	090	09	26
51	S	392	09	19
52	1	350	11	17
52	M	241	11	17
53	1	350	53	25
53	M	241	53	17
53	S	360	53	25
54	1	027	01	34
54	M	384	01	19
54	S	100	01	26
54	S	090	01	26
55	1	353	53	26
55	M	300	53	26
55	M	283	53	18
55	S	090	53	26
56	1	090	74	18
56	S	466	52	18
56	S	386	15	26
56	S	292	17	32
56	S	014	13	27
57	1	350	53	25
57	S	360	53	25
57	M	241	53	25
58	1	350	53	25
58	M	360	53	25
58	S	241	53	25
58	S	330	53	25
58	S	348	53	25
59	1	350	11	25
59	M	241	11	25
60	1	350	53	25
60	1	360	53	25
60	M	241	53	25
61	1	350	11	01
61	S	241	11	01
63	1	090	09	32
63	M	466	52	32
63	M	014	13	27
63	S	405	52	32
63	S	246	37	24
63	S	257	39	24
64	1	090	53	27
64	M	014	53	27
64	M	466	53	31
64	M	384	53	27
65	1	090	09	25
65	1	026	03	25
65	M	384	03	25
65	S	029	03	33
65	S	013	04	25
66	1	027	74	34
66	S	091	74	26
66	S	045	01	26
66	S	062	01	34
66	S	014	01	34
67	M	045	53	25
67	M	016	53	25
67	S	072	53	25
67	M	300	53	25
67	S	356	53	25
68	1	090	09	32
68	M	291	17	24
68	M	017	09	34
69	1	090	09	32
69	M	291	17	24
69	S	148	17	24
69	S	136	74	32
69	S	483	19	26
69	S	096	01	26
70	1	243	37	29
71	1	243	37	29
72	1	396	11	01
73	1	396	11	01
74	M	350	11	25
74	S	241	11	25
74	S	234	11	25
74	M	273	74	25
74	S	360	11	25
75	1	330	09	26
75	S	322	09	26
75	S	325	11	32
1276	1	094	71	40
76	1	325	15	28
76	S	442	15	28
76	S	322	53	26
76	S	324	15	28
77	1	122	53	27
77	S	072	53	32
77	S	063	53	27
77	S	018	53	19
78	1	171	74	24
78	M	165	71	24
78	M	166	13	27
79	1	174	59	31
79	1	175	57	27
79	M	166	13	27
79	S	285	59	23
79	S	370	57	24
79	S	432	57	27
80	M	026	03	33
80	1	090	09	32
80	S	013	04	32
80	S	384	03	19
80	S	064	71	40
80	S	017	01	34
80	S	027	01	34
81	1	002	71	40
81	S	016	24	40
82	1	045	01	02
83	1	090	74	27
83	M	466	52	32
83	M	355	13	27
84	1	064	71	08
85	1	120	53	32
85	S	061	53	32
85	S	407	53	24
85	S	060	53	40
85	S	483	53	32
86	1	351	74	25
86	M	350	11	25
86	S	243	37	17
86	S	148	11	33
87	M	273	53	25
87	M	360	53	25
87	M	270	53	25
87	S	320	53	25
88	S	483	32	24
88	M	302	32	24
88	S	310	32	24
88	S	393	32	24
89	1	300	53	25
89	S	131	53	33
89	S	350	53	25
89	S	356	53	25
90	1	165	53	32
90	M	176	53	32
90	S	167	53	31
91	1	090	74	26
91	1	045	01	34
92	1	090	09	02
93	1	002	71	32
93	M	011	71	40
93	M	469	52	32
94	1	002	01	40
94	M	062	01	40
95	M	384	04	27
95	1	001	74	25
95	M	015	05	35
95	S	029	03	25
96	M	064	53	27
96	1	014	53	27
96	S	384	53	27
97	1	002	71	32
97	S	166	13	27
97	S	232	13	27
98	1	435	53	27
99	S	060	53	40
99	S	407	53	34
99	1	120	53	40
99	M	064	53	40
100	S	072	01	26
100	M	430	09	26
100	1	164	09	18
100	S	016	09	26
100	S	370	53	26
101	1	163	11	25
101	S	172	11	31
101	S	234	11	25
102	1	001	74	32
102	S	430	57	27
102	M	002	71	32
103	1	243	37	29
103	S	244	37	29
104	1	243	37	29
105	1	351	11	33
106	1	265	41	24
106	S	264	41	24
106	S	483	19	19
106	S	262	41	24
106	S	291	74	24
106	S	290	71	40
107	1	396	17	07
107	1	090	74	07
108	M	072	53	34
108	M	021	53	26
108	1	094	53	26
108	M	121	53	18
109	M	310	53	17
109	1	300	53	17
109	S	351	53	31
110	1	273	53	25
110	1	270	53	25
110	S	262	53	17
110	S	360	53	25
111	1	002	01	40
111	S	011	01	40
112	1	002	71	40
112	S	010	71	32
113	M	002	53	25
113	1	001	53	25
113	M	100	53	25
114	M	164	53	18
114	M	094	53	26
114	M	072	53	26
114	M	091	53	18
114	S	290	53	32
115	1	002	71	40
115	M	166	13	27
115	S	232	13	27
115	S	430	13	27
115	S	014	05	27
116	1	001	53	27
116	S	015	53	35
116	M	002	53	32
116	M	166	53	27
117	1	001	74	26
117	M	045	01	34
117	S	384	01	19
117	M	029	01	26
117	S	014	05	27
118	1	002	01	34
118	M	016	06	19
119	1	011	01	34
120	1	015	05	35
120	M	384	03	19
120	S	064	05	27
120	S	029	03	32
121	1	010	71	40
121	M	002	01	34
122	1	064	71	32
123	S	405	53	18
123	1	164	09	26
123	S	254	39	18
123	S	100	09	26
124	M	290	53	34
124	S	291	53	18
124	S	100	53	26
124	S	072	53	26
125	M	265	41	24
125	M	291	17	24
125	S	290	71	40
125	S	264	41	24
126	S	356	09	33
126	S	270	09	25
126	M	163	09	33
126	M	148	09	33
126	S	134	09	33
126	S	360	09	33
126	S	243	37	17
127	1	270	53	17
127	M	273	53	17
127	M	360	53	25
127	M	351	53	25
129	1	011	71	40
129	M	002	71	40
129	S	016	24	40
129	S	045	71	40
130	1	002	53	40
130	1	011	53	40
130	S	430	53	27
131	M	002	71	40
131	S	060	71	40
131	M	166	13	27
131	S	232	13	27
132	1	483	19	34
132	1	290	19	34
133	1	002	53	40
133	1	011	53	40
133	S	064	53	34
134	1	001	74	40
134	M	005	71	40
135	1	001	74	32
135	S	096	71	32
135	S	209	72	24
135	S	201	72	24
136	S	016	06	19
136	M	045	71	40
136	1	001	74	40
136	M	011	71	40
136	S	209	02	18
136	S	201	04	17
137	M	013	72	32
137	S	014	05	27
137	1	045	72	32
138	1	045	01	34
138	S	160	53	31
138	S	017	01	34
138	S	064	01	34
139	1	483	19	18
140	1	050	09	25
140	S	270	09	25
141	M	016	09	34
141	M	048	09	34
141	S	164	09	26
141	S	430	09	19
141	S	325	09	26
142	1	051	19	06
143	1	330	53	34
143	M	001	53	34
143	S	430	53	27
143	S	325	53	34
143	S	324	53	34
143	S	100	53	26
143	S	322	53	26
143	S	048	53	34
143	S	463	53	34
143	S	327	53	34
144	1	002	53	40
144	M	011	53	40
144	M	075	53	40
145	1	001	53	40
145	M	094	53	26
145	S	060	53	26
145	S	005	53	40
146	M	164	53	32
146	1	096	53	40
146	S	072	53	40
146	S	014	53	27
146	S	160	53	32
147	1	264	41	29
148	1	292	74	18
149	1	001	74	40
149	M	002	71	40
149	S	014	05	27
150	S	016	71	27
150	1	001	74	32
150	S	164	71	32
151	1	002	71	40
151	1	011	71	40
151	S	060	71	40
152	1	002	71	40
152	M	011	71	40
152	S	430	74	40
152	S	048	53	40
153	1	045	71	40
153	1	005	71	40
153	S	016	06	19
154	1	011	03	33
154	M	045	03	33
154	M	201	04	17
154	M	026	03	33
154	S	064	03	33
155	M	045	03	33
155	1	026	03	33
155	M	201	04	25
155	S	017	04	25
155	S	038	03	19
156	1	045	01	34
156	S	016	06	19
156	M	100	01	34
157	1	011	71	40
157	M	005	71	40
157	S	038	03	19
158	1	045	01	34
158	1	027	01	34
158	S	465	52	34
159	M	045	71	40
159	1	001	71	40
209	S	218	06	19
209	S	005	03	40
209	S	047	72	24
209	S	461	52	24
209	S	226	72	24
210	1	001	01	34
210	S	003	02	26
210	M	011	01	34
210	S	051	01	26
211	1	010	11	32
212	1	001	74	24
212	S	081	05	24
212	S	072	71	32
212	S	463	03	40
213	M	014	01	27
213	M	060	01	26
213	S	164	01	26
214	1	051	74	02
215	1	166	53	27
215	M	175	53	27
215	S	452	53	27
215	S	432	53	27
215	S	003	53	24
215	M	015	53	35
215	S	190	53	27
215	S	191	53	32
216	S	072	01	26
216	M	051	07	31
216	S	120	19	26
216	1	001	01	26
216	S	100	01	26
217	1	300	53	33
217	S	172	53	31
218	1	051	74	02
219	M	014	53	25
219	S	081	53	25
219	S	016	53	19
219	M	463	53	33
219	S	400	53	19
219	M	233	53	25
219	S	064	53	25
220	1	353	10	18
220	M	173	55	18
220	M	421	66	18
220	M	190	02	18
220	S	292	17	26
220	S	327	09	18
220	S	072	01	26
220	S	430	09	26
221	M	190	53	19
221	M	198	53	18
221	1	452	53	26
221	M	166	53	19
221	S	173	53	31
221	S	405	53	19
221	S	400	53	19
221	S	350	53	19
221	S	191	53	18
221	S	394	53	18
221	S	195	53	19
222	1	190	53	19
222	1	198	53	26
222	M	400	53	19
222	S	288	53	26
222	S	394	53	26
222	S	195	53	19
222	S	166	53	19
223	1	265	75	26
223	1	999	75	99
223	S	148	75	18
224	1	002	02	18
224	1	226	02	18
225	1	265	41	29
225	M	262	41	29
225	M	264	41	29
226	1	469	52	24
226	M	464	52	24
226	1	174	59	31
226	S	148	59	24
226	S	406	53	24
226	S	264	41	24
227	1	464	53	24
227	M	148	53	24
227	S	147	53	24
227	S	483	53	24
227	S	165	53	24
228	1	051	74	02
229	1	171	12	17
229	M	038	12	17
229	M	040	12	17
230	1	001	71	32
230	S	015	05	35
230	S	011	71	40
231	1	015	05	35
231	S	211	02	18
232	1	015	05	35
232	S	461	51	24
232	S	034	04	24
233	1	011	71	40
233	M	005	71	40
234	1	203	04	01
235	1	060	03	33
236	M	002	71	40
236	M	166	13	27
236	S	003	72	24
236	S	051	05	27
236	S	102	05	27
237	1	430	13	27
237	1	166	13	27
238	1	190	13	18
238	M	166	13	19
238	M	216	66	18
238	S	301	66	18
239	S	096	53	32
239	1	001	53	32
239	M	014	53	27
239	S	081	53	27
240	S	463	53	19
240	M	014	53	19
240	1	001	53	40
240	S	131	53	40
240	S	096	53	40
241	1	350	11	33
241	M	463	11	19
241	S	131	11	33
241	M	001	11	32
242	1	183	54	31
242	M	186	54	39
243	1	999	75	99
243	M	265	75	29
243	S	148	75	18
244	1	001	03	33
244	S	081	05	19
244	S	461	52	24
244	S	034	13	32
244	S	016	24	19
244	M	014	05	19
244	S	384	01	19
244	S	102	05	27
245	1	001	01	34
245	S	045	01	34
245	S	191	24	19
246	1	001	74	26
246	M	014	05	27
246	S	010	01	26
246	S	081	05	19
247	1	001	74	25
247	M	081	05	35
247	S	098	03	25
248	M	002	71	32
248	S	430	13	27
248	M	166	13	27
248	S	226	72	32
248	S	015	13	35
249	1	190	02	18
249	1	166	13	27
249	S	003	02	18
250	1	452	74	32
250	1	198	74	32
250	M	190	13	19
250	S	166	13	19
250	S	191	03	25
250	S	405	53	19
251	1	124	71	08
251	1	002	71	08
252	1	001	53	32
252	S	045	53	34
252	M	096	53	32
253	1	014	53	27
253	M	081	53	27
253	M	102	53	27
253	S	463	53	19
254	1	353	75	26
254	S	216	66	18
254	S	356	45	34
254	M	301	75	26
254	M	999	75	26
254	S	265	75	21
254	S	234	02	18
255	1	353	10	26
255	S	463	09	26
255	M	301	75	26
255	S	190	02	18
1118	M	090	71	32
1118	1	241	11	25
255	S	166	05	19
255	S	408	53	26
256	1	205	11	25
256	1	050	11	33
257	1	300	30	17
257	M	310	30	31
257	S	148	29	17
258	S	011	71	34
258	S	081	05	35
258	S	166	13	19
258	1	001	71	32
258	1	102	05	27
259	M	467	03	25
259	S	442	03	25
259	1	001	03	25
259	S	234	04	17
259	M	081	05	27
259	S	098	03	25
260	1	467	03	19
260	M	400	03	19
260	S	010	03	25
261	M	467	03	19
261	M	400	03	19
261	M	010	03	33
262	1	010	03	33
262	M	467	03	19
263	S	013	72	32
263	S	442	03	25
263	M	468	03	33
263	S	041	03	33
263	S	218	06	19
263	S	099	03	33
263	S	043	03	33
263	1	001	71	33
264	M	013	02	26
264	1	010	01	26
264	S	085	01	26
264	S	082	05	19
265	S	226	52	24
265	S	461	52	24
265	S	430	13	35
265	S	483	13	27
265	1	355	13	27
265	S	166	13	27
266	1	120	53	32
266	M	046	53	32
266	M	001	53	32
266	S	013	53	24
267	1	467	53	32
267	M	120	53	32
268	S	384	52	19
268	M	451	52	31
268	S	059	74	31
268	M	466	52	26
269	1	276	72	24
269	M	285	11	32
270	1	276	53	24
270	1	093	53	40
270	M	325	53	32
270	M	285	53	32
271	M	264	41	29
271	1	265	41	29
272	1	125	53	26
272	M	353	53	26
272	M	100	53	26
272	S	164	53	26
272	S	405	53	26
273	1	120	53	26
273	M	353	53	26
273	M	124	53	18
273	M	100	53	26
273	S	001	53	26
273	S	405	53	26
274	1	300	53	32
274	1	172	53	31
274	S	190	53	19
274	S	166	53	19
274	S	198	53	18
275	M	467	51	19
275	S	081	05	19
275	1	001	03	33
275	S	442	03	25
275	S	064	06	33
276	1	010	03	25
277	1	467	03	19
277	S	400	03	19
277	M	098	03	33
278	1	013	02	26
279	1	013	02	26
279	S	027	02	26
279	S	063	02	18
280	1	002	71	32
280	M	461	52	24
280	M	226	72	32
280	S	080	05	19
280	M	166	13	19
281	1	096	53	32
281	M	102	53	27
282	1	465	52	33
282	M	442	03	33
282	M	400	53	19
282	S	460	52	33
283	1	163	11	33
283	S	270	11	32
283	S	131	11	33
283	S	005	11	33
283	S	096	11	33
283	S	291	11	33
284	1	353	74	26
284	M	164	09	34
284	S	124	71	26
284	M	213	53	26
285	1	203	04	25
285	M	200	74	32
286	1	205	53	25
287	1	356	75	25
287	1	205	75	25
287	S	420	75	25
288	S	080	03	19
288	M	467	03	33
288	M	013	04	25
288	1	001	03	33
289	1	098	03	25
289	M	467	03	33
289	M	233	04	25
290	1	467	53	40
290	M	463	53	40
290	S	163	53	33
290	S	131	53	33
290	S	406	53	18
291	M	013	02	32
291	M	002	71	32
291	S	461	52	24
291	S	226	72	24
291	S	166	13	27
292	1	467	03	40
292	1	002	71	40
292	M	011	71	40
292	S	400	03	19
293	1	096	53	32
293	1	102	53	27
293	S	467	53	40
